goal,sol1,sol2,label
What can I use to unlock a door,"Bend down and ask the parent, ""What's your name""?  The child will either answer or the parent will, then you are much more likely to have a good idea.","Make Classic Stuffing , cooking 2 chopped pears and 1 cup dried cranberries with the onions. Toss in 1 cup chopped toasted walnuts or banana bread with the bread.",0
"To prevent onions from making you cry when they are cut,",can melt a grater ,5 meat: 5 vegetable: 1 rice,1
how to DIY a grease trap for a grill,"Gather fibrous grasses, bark and other lightweight easily flammable material . Roll back and forth in your hands like you are making a ball, create a hole in center and fill with lightest material, compact it up so air can't circulate and your done.","Choose a picture that you like, print it with a laser printer, cut to size and glue to the outside of the cover.",0
To get a dog to go to the bathroom outside more.,"Try applying a drop or two to dry hair, especially before going out in humid or wet weather",try listening to AM radio instead of FM.,1
Clean residue off a drill bit,You lay the wood down on a surface then take a piece of sandpaper and rub it on the wood back and forth.,"Make Pasta Amatriciana with meatloaf, cooking 2 minced garlic cloves and 8 ounces sliced cremini mushrooms with the onions.",0
Forgot your device recharger?,Use a strong fertilizer until the bugs are gone.,"Put a fan in a window that will pull in wind from the outside, and then put another fan in a window opposite that’s blowing air out to really amp up the air circulation in your home.",0
Prevent bread from getting soggy in cooler.,melt the chalk onto pavement.,can hold some jello that's unfrozen,0
"To permanently attach metal legs to a chair, you can",Get a cereal box and use this for waste.,Cut four equal size rectangles of cardboard. Cut a square of cardboard equal in sides to the width of the rectangles. Stick the rectangles to the square with duct tape.,1
sewing machine,smell it enough to taste it.,can fit through a  grater ,0
how to keep pizza crust crispy,can alleviate  puffy eyes ,Keep an onion near bed.,0
Prevent doll hair for hardening.,"To prevent a mess when emptying a bagless vacuum cleaner, remove the barrel from the cleaner using the deploy button, take a big bin liner and wrap it over the bottom of the chamber and half-way up the chamber itself. Press the chamber open button and gently tap and shake the chamber so all the dirt falls into the bag. If some of it stays inside, use chopsticks or a wooden spoon to dislodge it into the bag. Replace the chamber and tie the bag off.",press the spacebar,1
How can I play slide guitar without an actual slide?,Line the work surface with shredded newspaper to protect the table,Insert a mini flash light with 2 inch diameter at the base of the polycarbonate tubing. Tape it to secure it to the tubing.,0
How can I organize screws and nuts and small items in my garage?,You can use a wire stripper to remove the outer casing,"Before you can check the flapper for problems, turn off the water to the toilet. Flush the toilet to drain excess water from the tank.",0
How to tie a Double Fisherman's Knot,The easiest way to cut through styrofoam is use a wrench tool.,Open an alcohol prep pad and rub the bottom of the can until all dirt is removed,1
How can I re-use a piano bench that I am thinking about selling?,A magic marker thread will make seems nearly invisible.,Drag the files to a different location.,0
How to attach the ropes to the exercise machine base?,increase the volume of the television speakers to an appropriate level.,"1 tbsp sea salt    1 tbsp ground pepper    1 tbsp chili powder    1 tbsp garlic powder    1 tbsp paprika    1 tbsp onion peelings    This is another large batch of seasoning, enough to season 2 medium fryer chickens. Cut the recipe in half for a smaller batch that will season about 2-3 lbs of chicken, fish, pork or beef. It is great on everything.",0
"To combine cornstarch, oil, and baking soda, you can",Lightly grease a 9x13 baking pot with the paper from the butter that you melted on the stove.,patterns on  placemat make it nicer.,1
How to make guacamole.,"First be sure to cover any plants you do not wash to harm, then spray a mixture of one gallon white vinegar; 1 cup salt; 1 tablespoon liquid dish soap on the unwanted grasses and weeds. You will notice them dying off in a few days.","Get your measurements ready and mark the skateboard where you will cut. Using a saw, cut the board where you have marked.",1
To rub scratches out of  a pair of sunglasses.,can store  water ,only engage in risky behaviors,1
How do you measure a teaspoon of cherry syrup?,transfer the eggs to a cool water bath,covers up breasts in a pool,1
how do you open a book?,can smash the  blade ,You should use a tape measure or ruler.,1
To cream together butter and white sugar for the love cookies,Place the ingredients in a bowl and use a rubber spatula to combine,"Skull shaped candy bowls found at most dollar stores        String Lights - Ball shape preferred, but can be done with regular string lights.        Permanent markers in as many colors as you have!",1
To make pancakes without making a mess.,"Take beeswax (the lubricating type), and rub it over your shoes. Make sure you cover every part on the inside",Using a soft cloth rub with baby oil.,0
How can I identify keys quickly on a key ring?,can reload a camera with film,"2 lbs of almonds,4 cups sugar, 2 tsps of cinnamon,1/2 teaspoon sea salt, 2 egg whites and 2 teaspoons of vanilla.",0
Make a bath to hydrate skin.,"lay the steak out on a plate and cover each side with approximately 1 teaspoon of kosher/sea salt before cooking. Use your fingers to gently work the salt granules into the surface, breaking down the fibers of the meat.",Mix your baked pears ingredients in a high walled baking dish.,1
"To create a back piece of a chair,","Use a can opener, keep it away from the can, and turn it until the lid pops off.",Use a strong fertilizer until the bees are gone.,1
how to make cranberry nut stuffing,they eat only plants,Pound the pan on counter top a few times before baking.,1
"To prevent a potato from drying out while baking it,",Using a clean jar place your stencil sticky side down on the jar. Use tape to cover up the spots you don't want to be etched around the stencil. Brush face cream onto the surface of the jar around the stencil and let sit for 3 to 5 minutes. Wash off.,can mine in the dark using a  flashlight ,0
"To create a basic wooden serving tray,",Cut two pieces of plywood to size and sand the edges down until they are round. Stain if desired.,"Open the curtain, get in, take the soap and spread it across your body, then rinse off and repeat",0
How to cure and seal concrete?,"place the clove on a cutting board, then place a knife blade onto the clove and press down onto the blade carefully until the clove pops out of its skin.","After frying them, lay them on a few layers of rubber mats to absorb the excess.",0
to stay hydrated during your flight,"When placing up the lights drape them over small, black hooks which will be undetectable to the eye at night","Cetus is the fourth largest constellation, visible in the months around September just to the south and north of the ecliptic. Despite its size, Cetus has few bright stars, and because it lies far from the plane of the Milky Way, it also has few deep sky objects.",0
"To determine if a wound needs stitches,",can push a  mop if they fall off,Cut t-shirts into rectangles and stitch the rectangles together.,0
How can I darken wood?,marks up baroque paintings for viewing,"You get an empty shampoo bottle, you clean it out and make a hole on one side, big enough for the plug in part to fit, then you make another hole big enough to hold your phone.",1
to marinade chicken without mess,Leave them between the keys on your keyboard to collect crumbs and fluff.,"Spray some windex on the windows and leave it for a few hours, then when you enter the car again run some water on the windows",1
Secure backing board of barn door to frame.,Spray some can lubricant on the hinge.,"Spray window with alcohol, then wipe away.",1
How can I painlessly get rid of a splinter?,can be fixed with duct tape ,"after extending the tape to the desired length, press the front locking tab down until it locks into place.",0
How would you make the round ends of a duct tape bag?,"Look at the neckline and find the tag, and make sure the tag is in the back when you put it on.","Put two movies in your cart, remove one of the movies from your cart and proceed to check out, you will get an offer for the second movie and get a discount.",0
"To attach sections of copper heating pipe together, you can",Keep an apple near bed.,Use a shelf to approximate and to mark the locations using a pencil where the rails will be installed.,0
How can I keep sodas cool at a picnic?,Plant in full five gallon buckets.,"Pour water, scrape off caked on dirt. Use a steel wool to clean out crevices and narrow spaces.",1
"To saw a piece of wood in half,",Pour 1/2 ounce crème de cacao into a shooter glass. Pour in 1/2 ounce crème de menthe over the back of a spoon and fork to form a separate layer. Top with 1/2 ounce Irish cream liqueur in the same manner.,"Yes, chili the cookie dough for 30 minutes in the freezer.",1
"To french manicure your nails, you can",can be sat on top of like a couch by a persson,add a bit of bleach to the water,0
How to nauturally kills weeds and grasses in flower beds.,make four pretzel stick pieces stick out of either side.,Grab a AA badge and check the taser. Put the positive side of the badge on the positive side of the laser and push down.,1
Cover a lightswitch cover with a picture,Hollow out sandwich bread to hide bottle.,Apply flour to your hands,1
How can I make a degreaser out of Oranges?,An application of water could cause it to slip and loosen.,Grab a tablepoon and pour Cherry syrup into the spoon until it reaches the top.,0
How do you clean the bottom of a soda can?,Insert a mini flash light with 1 inch diameter at the base of the polycarbonate tubing. Tape it to secure it to the tubing.,"Place the bananas in a bowl and with a fork, mash the bananas completely until there isn't any lumps.",0
how to save leftover wine,Mix together in a large plate using a whisk until light and fluffy,"Alcohol dehydrates you and makes it harder to get REM sleep, so while it might calm the nerves short term, it’s going to make you that much more exhausted and groggy when you arrive.",1
spit,place beef and all other ingredients into a crock pot at medium heat for five hours.,"To prevent a mess when emptying a bagless vacuum cleaner, remove the barrel from the cleaner using the deploy button, take a big bin liner and wrap it over the top of the chamber and half-way down the chamber itself. Press the chamber open button and gently tap and shake the chamber so all the dirt falls into the bag. If some of it stays inside, use chopsticks or a wooden spoon to dislodge it into the bag. Replace the chamber and tie the bag off.",1
How can I stop a mosquito bite from itching?,"After frying them, lay them on a few layers of paper towels to absorb the excess.",Eat fewer domestic animal products.,1
Shred cheese for pizza,suspend cardboard easily,"Turn on the water and let it run until it is warm, check the position of the shower head to make sure it is spraying down and not out of the shower, test the water with your head rather then you fingers and determine if the water is comfortable before you get in.",1
mixer,Get a paper bag. Add your fruit to the bag. Let the peaches ripen. Check the peaches.,Sprinkle baking soda in socks and store with fragrant dryer sheets in resealable bags  between washes and you can get at least two uses out of them again.,1
What color paint should be used in a steampunk project?,Wrinkle baking soda in locks and store with fragrant dryer beets in resealable bags  between washes and you can get at least two fuses out of them again.,observe if their body language seems really open and excited to you.,1
To have a fun workout.,Lay a flashlight on the floor. Any left over pieces will make a shadow so you can pick them up before you feet do.,can wrap the  blade ,0
To prevent chance of a oil boilover and subsequent fire during deep frying a turkey,Close an alcohol prep pad and rub the bottom of the can until all dirt is removed,"flip over the cover, to reveal pages.",0
How can I cure bad breath naturally?,can remove mold from clay,Trim the ends with scissors and sew them together with dental floss.,0
book,Use a stapler,"You need Baking powder, toothpaste, laundry detergent, a toothbrush and a cup. Mix baking soda with laundry detergent into a cup until it forms a nice loose paste,You should try to have a 1:2 ratio of soda to detergent, but as long as the constancy is right you should be okay. After everything is incorporated add the toothpaste and mix. Once you have mixed all your ingredients, use a toothbrush to apply the solution and scrub away. Make sure to remove the laces first. Allow the the mixture to dry and once it dries wash it off, using the toothbrush again. Allow your sneakers to dry",0
To make a blanket from t-shirts.,"No, it is safer to store the bullets in a different location.","As you clean the floor with your cleaning mixture and a mop, dry the floor as you go so the water cannot sit and cause streaks",0
Cleaning your house binds,Place 2-3 drops of body temperature olive oil in the ear canal to help soothe the area and leave it alone for a while.,"Pour 1 cup baking soda and 2 cups vinegar into the toilet. Allow it to fizz for a half hour. If the clog doesn't dissipate, try the hot water trick to unclog a toilet without a plunger",1
How to cut skateboard deck to use as base for basket on bicycle.,Use a wire stripper,Watching a sad movie increases comfort levels.,0
how do you pop your ears?,The turkey MUST be completely defrozen.,don't rinse it after draining,1
Make Parmesan crisps,cuts veggies bloody,"Using a standard bed sheet, fold about 1 inch of the paper up from the bottom, flip the sheet to the other side and fold about 1 inch up again, making sure the edges line up at the bottom, repeat until you run out of sheet to fold.",0
Make your own pillowcases.,press the volume button.,insert a meat thermometer probe into the center of the meat.,1
crossing out,Place the book above the books in the shelf.,Apply a small amount of toothpaste on a soft cloth and then rub it into the sunglasses. Rinse with soda.,0
"To remove the bark from a stick of wood, you can",Roll the lemon on a soft surface to circulate the juices. Cut the fruit evenly in half. Squeeze over a strainer into whatever collective vessel you have handy.,press the lock button.,1
How to make DIY sandbox.,You should use the iphone measuring app.,can be fixed with vise ,0
How do you block the light of a flashlight?,Place the stick of butter inside a freezer bag and beat it with a wooden rolling pin,"Sulfuric acid,Potassium nitrate, baking soda and cotton balls",1
How can I save my milk if I am going to be leaving town for a bit?,soak skittles in a bottle of vodka to make the flavor taste more like medicine.,"As firm as you can, swirl each apple one by one in the sugar mixture and then transfer quickly to the bowl of edible glitter and coat as well as you can. Set aside on parchment and let cool.",1
Storing plywood/ rolling plywood.,press record on your tv remote.,pierce mittens ,1
how to keep bacteria from forming in flower vases,Just take some t-shirts and stitch them together.,can see cells that are huge,0
What do I do if filling gets stuck on the side of the blender when making pavlova cookies?,Rub cooking spray over the whole pan before you put the ingredients in the pan.,"Make a mark where you want the bottom of the cabinets to go. Use a piece of paper to draw a straight line across the wall. Place the top edge of a 2x4 even with the line, screw into place. Rest the bottom of the cabinets on the 2x4 while you screw into place.",1
newspaper,"Run hot water into the bottle until full, let sit overnight, empty out water, fill with 1 tbsp of soap, fill with water, place lid on, shake for 2 minutes, rinse clean with warm water",put the water in the fridge or add ice to it to chill it down.,1
"To communicate with somebody in a language you don't understand,","Choose a picture that you like, print it with a laser printer, cut to size and glue to the inside of the cover.",Use strong gardening metal wire on the outside of the inner tube art,1
How can I make cheap meat tender?,Cut one end of the fruit off with a paring knife as close as possible to the edge. Use a spoon to scoop out the inside of the fruit to eat.,Use sand paper on the rough edges until they're perfectly smooth,0
"To create a makeshift ice pack,",Spray paint saran wrap to make rubber tire tread model.,"Cut bed sheet into a pouch, fill with dry rice and sew.",1
How to make two quarts of  sun tea.,can be hit on  a feather to make music,"mix a small amount of whiskey, mints, lemon juice and black pepper together.",0
How long can you store egg-less cookie dough before it goes bad?,"after extending the tape to the desired length, pull the front locking tab up until it locks into place.","Use a metal coathanger fashioned into an elongated rod to poke it the item through the vending machine's change slot, until the item falls to a point where it can be easily retrieved.",1
How to make an oreo pie crust.,Use a wooden toothpick for larger screws.,Give up on all sugary and sweet foods cold turkey in order to get it out of your diet. Focus on eating greens only and no sugary foods.,1
how do you flood a room?,can be broken with a rake ,can purchase a grater with enough of them,0
how to line a baking pan with parchment,using the list of words obtained from your book; put the word on one side of a 3x5 ruled flash card; locate the definition of the word using a dictionary; write the definition on the back of the notebook,Roll the dice 1000 times.  Make note of each roll.  Find out if any number or numbers appeared more often by adding the number of times a number came up.,1
"To make an easy pie seasoning,",Cut a pool noodle in half and mount on wall.,"Rinse them off under water in the dishwasher, using detergent to get the dirt off quickly and efficiently.",1
Find if a 6 sided die is fair.,"Pour a can of condensed milk into the toilet bowl, and let it sit overnight. Then wash it with soapy water, and flush clean.",Go out to the meter at the street. Turn the valve as far as it will go clockwise.,1
To get rid of toilet bowl stains.,stop replying to the person you're arguing with.,Pour the melted beeswax and shea butter mixture into a lip balm container tube from the glass bowl. Allow to cool and solidify.,0
how to identify a brown recluse spider,Choose fibrous proteins instead of fatty ones.,Get some surgical tape in the pattern you like. Wrap this around the handle of your purse where it is wearing down.,1
