id,object_file,wind_speed,rotate_angle,num_iterations,resolution,drag_coefficient,moment_coefficient,lift_coefficient,front_lift_coefficient,rear_lift_coefficient,input_mesh_path,openfoam_mesh_path,pressure_field_mesh_path,streamlines_mesh_path
12n1nh2odhzgfh3roogzw54iq,object_321.obj,35,0,300,5,0.758429,0.5030955,-0.1507557,0.5106561,-0.08420039,data/train/0imtq5snozp1t3bq3zwbpjwez/input_mesh.obj,data/train/10q6j6dw8rxwi4dn183pgmhbb/openfoam_mesh.obj,data/train/0z5qywan1yu2rjmnu2itjo717/pressure_field_mesh.vtk,data/train/02evr3e2marhia7k1s7h6j59m/streamlines_mesh.ply
0x7nxzx82og1ys2m2xctbwnms,object_680.obj,21,67,300,5,0.7970801,0.82284,0.3052742,0.6279759,-0.1511798,data/train/0dzp2vb3ng9nj4mgnbbtxwcen/input_mesh.obj,data/train/0u74uawkyh7ig7t6zhi6xekak/openfoam_mesh.obj,data/train/0edsy9bzsjnxb5zvtc90bsdmu/pressure_field_mesh.vtk,data/train/0mc1gd4rnumn66xsknz5p8m73/streamlines_mesh.ply
130vqs06cq6c1y4976a47zfi9,object_243.obj,29,59,300,5,0.4691689,0.09218954,0.1232458,0.1571885,-0.00730727,data/train/03qxu0e7326zzddgua0dz4ing/input_mesh.obj,data/train/140a0r7kydzzmh79048cynwty/openfoam_mesh.obj,data/train/0wozpr59pz5vjen7tkscjcwsa/pressure_field_mesh.vtk,data/train/0oxgc78k1pawthxbsgxxcrgmb/streamlines_mesh.ply
0oxgc78k1pawthxbsgxxcrgmb,object_330.obj,17,54,300,5,1.003138,0.1619295,-0.2162863,0.6672219,0.01436955,data/train/05uqhxxecqe4g0wxsckftteg5/input_mesh.obj,data/train/06zormz02nxf0rc74zkrcphbc/openfoam_mesh.obj,data/train/0tv48jb5w1nu5k0hyuaajoi6r/pressure_field_mesh.vtk,data/train/0rra6eufbuz1ifv7g8o6sb7kb/streamlines_mesh.ply
029xr65ctz9c822hm4snurbsz,object_164.obj,19,68,300,5,0.3551573,0.1489796,0.3785209,0.4705595,-0.03108273,data/train/0cvx2eim6tsianqjicz9japgm/input_mesh.obj,data/train/0zg2gwh0vz64rtorqgdrg5c9n/openfoam_mesh.obj,data/train/0idb2g9wgkdv531q8hdywvzz1/pressure_field_mesh.vtk,data/train/06m4f5ev3jkdt02amb2f4kt51/streamlines_mesh.ply
0wupepp8dsvvhc1452okj6j1y,object_553.obj,21,144,300,5,0.8773161,0.1930941,-0.06808184,0.2368149,-0.3736327,data/train/0kfa2jhjce85270qf6qzumbe0/input_mesh.obj,data/train/12j5a3rpjhbgzwh909kzhn3mf/openfoam_mesh.obj,data/train/0vdge9hs95uxkjsfnanqhyi9m/pressure_field_mesh.vtk,data/train/0d4z07025eaekfogdmd5v89j0/streamlines_mesh.ply
0bm9pjfhsrkaz5w4vpw3fngf2,object_567.obj,21,321,300,5,1.507121,0.2207585,0.4545567,0.06763396,-0.1691262,data/train/0p2r0zn1e5fm11a6a1pfyrcpi/input_mesh.obj,data/train/0uiz0k0g394k3m58xh82sxur5/openfoam_mesh.obj,data/train/0952iocbfmt1bnywxanz1opgd/pressure_field_mesh.vtk,data/train/06zormz02nxf0rc74zkrcphbc/streamlines_mesh.ply
1233r7hjho6st2kvnpc5dpcn5,object_176.obj,28,105,300,5,0.3533591,0.2468561,-0.1901653,0.2721438,-0.1779191,data/train/06sm8bifo471jqw4t9y4fz55p/input_mesh.obj,data/train/0mywao0u0espp6rzz067qwg2b/openfoam_mesh.obj,data/train/0m1bs2sn2d53a7qtmkp6otnaj/pressure_field_mesh.vtk,data/train/0ch8fk6ni7hr1mvv7rx1k08ac/streamlines_mesh.ply
0m88mi4o7cfxa3wftpw4cuogn,object_618.obj,23,180,300,5,1.065956,0.1232461,1.27205,-0.06884859,0.0549656,data/train/0mn5fz23emyc5v1ngic3jfunz/input_mesh.obj,data/train/130vqs06cq6c1y4976a47zfi9/openfoam_mesh.obj,data/train/00s74a32oc2rdabb83qn60mj2/pressure_field_mesh.vtk,data/train/000aqxyri7e530hb1gobr0waq/streamlines_mesh.ply
01d5bgu8wni1rwby8nw4321vg,object_303.obj,24,67,300,5,0.6634484,0.1855401,-0.3490216,-0.264782,0.07290845,data/train/10mxs2e4s02vp48u45wwnrq0m/input_mesh.obj,data/train/0e4x4zs796gt2sdjxxen14cfj/openfoam_mesh.obj,data/train/0605xogqn4jikyptgn6h98oga/pressure_field_mesh.vtk,data/train/0uueany9g3eup9whtm37goq82/streamlines_mesh.ply
