id,ending0,ending1,ending2,ending3,ending4,label,sent1,sent2,startphrase
5978,Bartholin gland cyst,HLA-B8,Lysyl oxidase,Coarctation of aorta,NM receptors of the quadriceps femoris muscle,4,"A 79-year-old man is brought to the emergency department after he noted the abrupt onset of weakness accompanied by decreased sensation on his left side.  His symptoms developed rapidly, peaked within 1 minute, and began to spontaneously resolve 10 minutes later.  Upon arrival in the emergency room 40 minutes after the initial onset of symptoms, they had largely resolved.  The patient has essential hypertension, type 2 diabetes mellitus, chronic obstructive pulmonary disease, and a 50 pack-year smoking history.  He also had an ST-elevation myocardial infarction 3 years ago.  His brain CT scan without contrast is reported as normal.  Carotid duplex ultrasonography reveals 90% stenosis of the right internal carotid.  His transthoracic echocardiogram does not reveal any intracardiac abnormalities. ","His arterial blood gas at room air is as follows:

pH: 7.34
PaCO2: 68 mmHg
PaO2: 56 mmHg
Base excess: +1
O2 saturation: 89%

What underlying condition most likely explains these findings?","A 79-year-old man is brought to the emergency department after he noted the abrupt onset of weakness accompanied by decreased sensation on his left side. His symptoms developed rapidly, peaked within 1 minute, and began to spontaneously resolve 10 minutes later. Upon arrival in the emergency room 40 minutes after the initial onset of symptoms, they had largely resolved. The patient has essential hypertension, type 2 diabetes mellitus, chronic obstructive pulmonary disease, and a 50 pack-year smoking history. He also had an ST-elevation myocardial infarction 3 years ago. His brain CT scan without contrast is reported as normal. Carotid duplex ultrasonography reveals 90% stenosis of the right internal carotid. His transthoracic echocardiogram does not reveal any intracardiac abnormalities. Which of the following interventions is most appropriate for this patient's condition?"
2622,Medulloblastoma,Pyrimethamine,Herpes simplex virus,D2 receptors of the basal ganglia,Cor pulmonale,3,An 8-year-old boy is brought to the emergency department because of shortness of breath and dry cough for 2 days.  His symptoms began after he helped his father clean the basement.  He is allergic to shellfish.  Respirations are 26/min.  Physical examination shows diffuse end-expiratory wheezing and decreased inspiratory-to-expiratory ratio. ,Microscopic examination of this density is most likely to confirm which of the following diagnoses?,"A 65-year-old man was picked up by the security personnel for voiding urine and defecating at an inappropriate place in the community. On questioning, he was making offensive remarks and behaving inappropriately. On physical examination, the physician observed an ataxic gait and amnesia. Initial urine drug screen is negative for any drugs of abuse. Which is the most likely pathological finding present in this patient?"
9953,Release of vascular endothelial growth factor,Calcium deposits on digits,Secondary syphilis,Increased carbon monoxide inhalation,Heartburn and regurgitation,1,"A 34-year-old man presents to a clinic with complaints of abdominal discomfort and blood in the urine for 2 days.  He has had similar abdominal discomfort during the past 5 years, although he does not remember passing blood in the urine.  He has had hypertension for the past 2 years, for which he has been prescribed medication.  There is no history of weight loss, skin rashes, joint pain, vomiting, change in bowel habits, and smoking.  On physical examination, there are ballotable flank masses bilaterally.  The bowel sounds are normal.  Renal function tests are as follows:
Urea 50 mg/dL
Creatinine 1.4 mg/dL
Protein Negative
RBC Numerous
The patient underwent ultrasonography of the abdomen, which revealed enlarged kidneys and multiple anechoic cysts with well-defined walls.  A CT scan confirmed the presence of multiple cysts in the kidneys. ",This patient’s condition is most strongly characterized by which of the following?,"A 1-year-old boy is brought to the physician by his parents for the evaluation of recurrent seizures. He is at the 5th percentile for height and 10th percentile for weight. Examination shows coarse pale hair, inelastic hypopigmented skin, and generalized hypotonia. Laboratory studies show low serum ceruloplasmin levels. Decreased activity of which of the following enzymes is most likely responsible for this patient's condition?"
9525,Mesenteric angiography,Group B streptococcus,Plain abdominal X-rays,Fresh frozen plasma,Lung adenocarcinoma,4,"A 70-year-old woman, gravida 5, para 5, comes to the physician for the evaluation of sensation of vaginal fullness for the last six months.  During this period, she has had lower back and pelvic pain that is worse with prolonged standing or walking.  The patient underwent a hysterectomy at the age of 35 years because of severe dysmenorrhea.  She has type 2 diabetes mellitus and hypercholesterolemia.  Medications include metformin and atorvastatin.  Vital signs are within normal limits.  Pelvic examination elicits a feeling of pressure on the perineum.  Pelvic floor muscle and anal sphincter tone are decreased.  Pelvic examination shows protrusion of posterior vaginal wall with Valsalva maneuver and vaginal discharge. ",This patient's symptoms are most likely caused by tissue injury in which of the following locations?,"A 55-year-old man presents to the physician with tiredness, lethargy, bone pain, and colicky right abdominal pain for 1 month. He has no comorbidities. He does not have any significant past medical history. His height is 176 cm (5 ft 7 in), weight is 88 kg (194 lb), and his BMI is 28.47 kg/m2. The physical examination is normal, except for mild right lumbar region tenderness. Laboratory studies show:
Hemoglobin 13.5 g/dL
Serum TSH 2.2 mU/L
Serum calcium 12.3 mg/dL
Serum phosphorus 1.1 mg/dL
Serum sodium 136 mEq/L
Serum potassium 3.5 mEq/L
Serum creatinine 1.1 mg/dL
Urine calcium Elevated
An ultrasound of the abdomen reveals a single stone in the right ureter without hydroureteronephrosis. Clinically, no evidence of malignancy was observed. An X-ray of the long bones reveals diffuse osteopenia with subperiosteal bone resorption. The serum parathyroid hormone level is tested and it is grossly elevated. What is the most appropriate next step in his management?"
2397,Acute respiratory distress syndrome,GAA,M2 receptors of heart,Begin treatment with ciprofloxacin,Homogentisate oxidase,4,"An 8-year-old boy is brought to the pediatrician because his mother is concerned about recent behavioral changes.  His mother states that she has started to notice that he is slurring his speech and seems to be falling more than normal.  On exam, the pediatrician observes the boy has pes cavus, hammer toes, and kyposcoliosis.  Based on these findings, the pediatrician is concerned the child has a trinucleotide repeat disease. ",These receptors are structurally most similar to which of the following receptors?,"A 13-month-old girl is brought to the physician because of a pruritic rash for 2 days. The girl's mother says she noticed a few isolated skin lesions on her trunk two days ago that appear to be itching. The girl received her routine immunizations 18 days ago. Her mother has been giving her ibuprofen for her symptoms. The patient has no known sick contacts. She is at the 71st percentile for height and the 64th percentile for weight. She is in no acute distress. Her temperature is 38.1°C (100.6°F), pulse is 120/min, and respirations are 26/min. Examination shows a few maculopapular and pustular lesions distributed over the face and trunk. There are some excoriation marks and crusted lesions as well. Which of the following is the most likely explanation for these findings?"
9654,99mTc sestamibi scan with ultrasound of the neck,Growth hormone therapy,Low molecular weight heparin,CT scan of the head,Vaginal cancer,4,"A 42-year-old man presents for evaluation of vitamin D deficiency with possible osteomalacia.  The patient had a pathologic fracture 3 weeks ago and was found to have dangerously low levels of vitamin D with normal serum calcium levels.  Bone density has been drastically affected, leading to the fracture this patient experienced. ",What is the most likely diagnosis?,"A 2-year-old boy is presented to the pediatrician due to poor weight gain and easy fatigability. His mother states that the patient barely engages in any physical activity as he becomes short of breath easily. The prenatal and birth histories are insignificant. Past medical history includes a few episodes of upper respiratory tract infection that were treated successfully. The patient is in the 10th percentile for weight and 40th percentile for height. The vital signs include: heart rate 122/min and respirations 32/min. Cardiac auscultation reveals clear lungs and a grade 2/6 holosystolic murmur loudest at the left lower sternal border. The remainder of the physical examination is negative for clubbing, cyanosis, and peripheral edema. Which of the following is the most likely diagnosis in this patient?"
286,"Pallor, cyanosis, and erythema of the hands",PrPSC Sheets,Calcific tendinitis,↑ NAD+/NADH; AST:ALT ≥ 2:1; ß-oxidation ↑; ß-hydroxybutyrate ↓; lactic acid ↓,25-hydroxycholecalciferol,3,"A 5-day-old male newborn is brought to the emergency department 1 hour after having a seizure.  It lasted approximately 1 minute, and involved blinking and lip-smacking movements as well as left-sided jerking of the hand and foot.  His mother says she measured a temperature of 38.2°C (100.7°F) at that time.  He has had increasing difficulty feeding since yesterday.  He was born at 39 weeks' gestation and weighed 3189 g (7 lb, 1 oz); he currently weighs 2980 g (6 lb, 9 oz).  The mother's prenatal course was significant for gonorrhea infection diagnosed early in pregnancy and treated with ceftriaxone and azithromycin combination therapy.  The boy appears irritable and lethargic.  His temperature is 36.0°C (96.8°F).  Examination shows clusters of vesicular lesions with an erythematous base on the patient's face and trunk.  There is profuse lacrimation.  Laboratory studies show:
Leukocyte count 16,200/mm3
Segmented neutrophils 25%
Bands 5%
Lymphocytes 65%
Monocytes 3%
Eosinophils 2%
Serum
Glucose 80 mg/dL
A lumbar puncture is performed.  Cerebrospinal fluid analysis shows a leukocyte count of 117/μL, a protein concentration of 52 mg/dL, and a glucose concentration of 58 mg/dL. Results of blood cultures are pending. ","Further evaluation of this patient is most likely to show which of the following findings?""","A 44-year-old with a past medical history significant for human immunodeficiency virus infection presents to the emergency department after he was found to be experiencing worsening confusion. The patient was noted to be disoriented by residents and staff at the homeless shelter where he resides. On presentation he reports headache and muscle aches but is unable to provide more information. His temperature is 102.2°F (39°C), blood pressure is 112/71 mmHg, pulse is 115/min, and respirations are 24/min. Knee extension with hips flexed produces significant resistance and pain. A lumbar puncture is performed with the following results:

Opening pressure: Normal
Fluid color: Clear
Cell count: Increased lymphocytes
Protein: Slightly elevated

Which of the following is the most likely cause of this patient's symptoms?"
3594,Immune complex formation and deposition,Exploratory laparoscopy,Liver disease,Hypercoagulable state,Tuberculosis,2,"A 74-year-old man presents to the emergency department with sudden-onset abdominal pain that is most painful around the umbilicus.  The pain began 16 hours ago and has no association with meals.  He has not been vomiting, but he has had several episodes of bloody loose bowel movements.  He was hospitalized 1 week ago for an acute myocardial infarction.  He has had diabetes mellitus for 35 years and hypertension for 20 years.  He has smoked 15–20 cigarettes per day for the past 40 years.  His temperature is 36.9°C (98.42°F), blood pressure is 95/65 mm Hg, and pulse is 95/min.  On physical examination, the patient is in severe pain, there is mild periumbilical tenderness, and a bruit is heard over the epigastric area. ","After a conversation with the child exploring his symptoms, which of the following is the next step in management for this child?","A 40-year-old woman comes to the physician because of a 2-week history of anal pain that occurs during defecation and lasts for several hours. She reports that she often strains during defecation and sees bright red blood on toilet paper after wiping. She typically has 3 bowel movements per week. Physical examination shows a longitudinal, perianal tear. This patient's symptoms are most likely caused by tissue injury in which of the following locations?"
6667,Drug abuse,Prolyl hydroxylase,Exploratory laparotomy,Tinea capitis,Begin cognitive behavioral therapy,4,A 35-year-old man presents to pulmonary function clinic for preoperative evaluation for a right pneumonectomy. ,Which of the following trinucleotide repeats is this child most likely to possess?,"A 35-year-old man presents to pulmonary function clinic for preoperative evaluation for a right pneumonectomy. His arterial blood gas at room air is as follows:

pH: 7.34
PaCO2: 68 mmHg
PaO2: 56 mmHg
Base excess: +1
O2 saturation: 89%

What underlying condition most likely explains these findings?"
1754,Increase oral hydration and fiber intake,Alpha 1 receptors of the bladder neck,Hyperinsulinemia,Pick bodies,Proteinuria,1,"An investigator is studying the principles of cell-to-cell signaling of the autonomic nervous system.  It is found that the adrenal medulla has receptors that, when activated, result in the immediate opening of Na+, Ca2+, and K+ channels, which subsequently leads to the secretion of epinephrine and norepinephrine. ",Which of the following is the most likely diagnosis?,"A 53-year-old woman presents to her primary care physician with joint pain. She reports a 6-month history of progressive pain in her hands that is worse around her knuckles. The pain is symmetric bilaterally and seems to improve after she starts working in the morning at her job in a local grocery store. She has also lost 10 pounds over the past 6 months despite no changes in her weight or exercise regimen. Her past medical history is notable for seasonal allergies, hypertension, and intermittent constipation. She takes losartan and a laxative as needed. She had adolescent idiopathic scoliosis as a child and underwent a spinal fusion at the age of 14. She does not smoke or drink alcohol. Her temperature is 98.6°F (37°C), blood pressure is 135/75 mmHg, pulse is 92/min, and respirations are 16/min. On examination, she appears well and is appropriately interactive. Strength is 5/5 and sensation to light touch is intact in the bilateral upper and lower extremities. An examination of her hands demonstrates symmetric swelling of the metacarpophalangeal joints bilaterally. This patient’s condition is most strongly characterized by which of the following?"
7637,CT scan,Autosomal recessive polycystic kidney disease (ARPKD),Infectious vulvovaginitis,Deep vein thrombosis,Biceps tendinitis,0,"A 58-year-old man is brought to the emergency department after a witnessed tonic-clonic seizure.  His wife says he has had a persistent dry cough for 6 months.  During this time period, he has also had fatigue and a 4.5-kg (10-lb) weight loss.  The patient has no history of serious illness and does not take any medications.  He has smoked 1 pack of cigarettes daily for 35 years.  He is confused and oriented only to person.  Laboratory studies show a serum sodium concentration of 119 mEq/L and glucose concentration of 102 mg/dL. An x-ray of the chest shows an irregular, poorly demarcated density at the right hilum. ",What is the most appropriate next step in his management?,"A 70-year-old woman, gravida 5, para 5, comes to the physician for the evaluation of sensation of vaginal fullness for the last six months. During this period, she has had lower back and pelvic pain that is worse with prolonged standing or walking. The patient underwent a hysterectomy at the age of 35 years because of severe dysmenorrhea. She has type 2 diabetes mellitus and hypercholesterolemia. Medications include metformin and atorvastatin. Vital signs are within normal limits. Pelvic examination elicits a feeling of pressure on the perineum. Pelvic floor muscle and anal sphincter tone are decreased. Pelvic examination shows protrusion of posterior vaginal wall with Valsalva maneuver and vaginal discharge. Which of the following is the most likely diagnosis?"
3925,Patent ductus arteriosus (PDA),Rotator cuff tear,HLA-DR2,Bronchial carcinoid tumor,"Bisphosphonate therapy
""",3,"A 65-year-old man was picked up by the security personnel for voiding urine and defecating at an inappropriate place in the community.  On questioning, he was making offensive remarks and behaving inappropriately.  On physical examination, the physician observed an ataxic gait and amnesia.  Initial urine drug screen is negative for any drugs of abuse. ",All of the following symptoms and signs would be expected to be present EXCEPT:,"A 40-year-old G1P0010 presents to the clinic with nausea and vomiting 8 weeks after a spontaneous abortion at 10 weeks gestation. She admits to heavy drinking (7–8 glasses of wine per day) for the last 20 years; however, after the pregnancy loss, she increased her drinking to 8–9 glasses per day. Hepatomegaly, right upper quadrant pain, and jaundice are noted on abdominal examination. The lungs are clear to auscultation with no abnormalities on chest X-ray. Liver function tests are obtained and a biopsy is performed. Which of the following findings is most likely to be true in her condition?"
