repo_name,path,size,content,license
danielbierwirth/DropboxBrowser,sql/pgq/structure/func_internal.sql,12153,"body {
    font-family: helvetica, arial, sans-serif;
    font-size: 24px;
    line-height: 36px;
    background: url(""3264857348_0cfd8d7e4f_b-lowquality.jpg"");
    background-position: top center;
    background-size: cover;
    background-repeat: none;
    overflow: hidden;
}
* {
    box-sizing: border-box;
    -moz-box-sizing: border-box;
    margin: 0;
    padding: 0;
    color: #303030;
}
h1 {
    height: 25px;
    width: 640px;
    position: absolute;
    top: 50%;
    left: 50%;
    margin-left: -322px;
    margin-top: -290px;
    font-size: 32px;
    letter-spacing: -1px;
    text-shadow: rgba(255, 255, 255, 0.6) 0 0 8px;
    z-index: 1;
}
section {
    display: none;
}
.bespoke-parent {
    position: absolute;
    top: 0;
    bottom: 0;
    left: 0;
    right: 0;
}
.bespoke-slide {
    width: 640px;
    height: 480px;
    position: absolute;
    top: 50%;
    margin-top: -240px;
    left: 50%;
    margin-left: -320px;
}
section.bespoke-slide {
    -webkit-transition: all .3s ease;
    -moz-transition: all .3s ease;
    -ms-transition: all .3s ease;
    -o-transition: all .3s ease;
    transition: all .3s ease;
    display: block;
    border-radius: 0.5em;
    padding: 1em;
    background: -moz-linear-gradient(top, rgba(255, 255, 255, 1) 0%, rgba(255, 255, 255, 0.40) 100%);
    /* FF3.6+ */
    background: -webkit-gradient(linear, left top, left bottom, color-stop(0%, rgba(255, 255, 255, 1)), color-stop(100%, rgba(255, 255, 255, 0.40)));
    /* Chrome,Safari4+ */
    background: -webkit-linear-gradient(top, rgba(255, 255, 255, 1) 0%, rgba(255, 255, 255, 0.40) 100%);
    /* Chrome10+,Safari5.1+ */
    background: -o-linear-gradient(top, rgba(255, 255, 255, 1) 0%, rgba(255, 255, 255, 0.40) 100%);
    /* Opera 11.10+ */
    background: -ms-linear-gradient(top, rgba(255, 255, 255, 1) 0%, rgba(255, 255, 255, 0.40) 100%);
    /* IE10+ */
    background: linear-gradient(to bottom, rgba(255, 255, 255, 1) 0%, rgba(255, 255, 255, 0.40) 100%);
    /* W3C */
    filter: progid:DXImageTransform.Microsoft.gradient(startColorstr='#ffffffff', endColorstr='#40ffffff', GradientType=0);
    /* IE6-9 */
}
.bespoke-inactive {
    opacity: 0;
    top: 100%;
}
.bespoke-active {
    opacity: 1;
}
.bespoke-slide aside {
    display: none;
}
",isc
sec51/clamav-yara,experiments.html,171,"# mpps
web repository
",mit
steven-borthwick/check-support,unicorn/format.cpp,557,"/*---------------------------------------------------------------------------------------------
 *  Copyright (c) Microsoft Corporation. All rights reserved.
 *  Licensed under the MIT License. See License.txt in the project root for license information.
 *--------------------------------------------------------------------------------------------*/

'use strict';

import { TPromise, Promise } from 'vs/base/common/winjs.base';
import { xhr } from 'vs/base/common/network';
import { IConfigurationRegistry, Extensions } from 'vs/platform/configuration/common/configurationRegistry';
import strings = require('vs/base/common/strings');
import nls = require('vs/nls');
import { IDisposable, dispose } from 'vs/base/common/lifecycle';
import platform = require('vs/platform/platform');
import { IConfigurationService } from 'vs/platform/configuration/common/configuration';
import { BaseRequestService } from 'vs/platform/request/common/baseRequestService';
import { ITelemetryService } from 'vs/platform/telemetry/common/telemetry';
import { IWorkspaceContextService } from 'vs/platform/workspace/common/workspace';
import { assign } from 'vs/base/common/objects';
import { IXHROptions, IXHRResponse } from 'vs/base/common/http';
import { request } from 'vs/base/node/request';
import { getProxyAgent } from 'vs/base/node/proxy';
import { createGunzip } from 'zlib';
import { Stream } from 'stream';

interface IHTTPConfiguration {
	http?: {
		proxy?: string;
		proxyStrictSSL?: boolean;
	};
}

export class RequestService extends BaseRequestService {

	private disposables: IDisposable[];
	private proxyUrl: string = null;
	private strictSSL: boolean = true;

	constructor(
		@IWorkspaceContextService contextService: IWorkspaceContextService,
		@IConfigurationService configurationService: IConfigurationService,
		@ITelemetryService telemetryService?: ITelemetryService
	) {
		super(contextService, telemetryService);
		this.disposables = [];

		const config = configurationService.getConfiguration<IHTTPConfiguration>();
		this.configure(config);

		const disposable = configurationService.onDidUpdateConfiguration(e => this.configure(e.config));
		this.disposables.push(disposable);
	}

	private configure(config: IHTTPConfiguration) {
		this.proxyUrl = config.http && config.http.proxy;
		this.strictSSL = config.http && config.http.proxyStrictSSL;
	}

	makeRequest(options: IXHROptions): TPromise<IXHRResponse> {
		let url = options.url;
		if (!url) {
			throw new Error('IRequestService.makeRequest: Url is required.');
		}

		// Support file:// in native environment through XHR
		if (strings.startsWith(url, 'file://')) {
			return xhr(options).then(null, (xhr: XMLHttpRequest) => {
				if (xhr.status === 0 && xhr.responseText) {
					return xhr; // loading resources locally returns a status of 0 which in WinJS is an error so we need to handle it here
				}

				return <any>Promise.wrapError({ status: 404, responseText: nls.localize('localFileNotFound', ""File not found."")});
			});
		}

		return super.makeRequest(options);
	}

	protected makeCrossOriginRequest(options: IXHROptions): TPromise<IXHRResponse> {
		const { proxyUrl, strictSSL } = this;
		const agent = getProxyAgent(options.url, { proxyUrl, strictSSL });
		options = assign({}, options);
		options = assign(options, { agent, strictSSL });

		return request(options).then(result => new TPromise<IXHRResponse>((c, e, p) => {
			const res = result.res;
			let stream: Stream = res;

			if (res.headers['content-encoding'] === 'gzip') {
				stream = stream.pipe(createGunzip());
			}

			const data: string[] = [];
			stream.on('data', c => data.push(c));
			stream.on('end', () => {
				const status = res.statusCode;

				if (options.followRedirects > 0 && (status >= 300 && status <= 303 || status === 307)) {
					let location = res.headers['location'];
					if (location) {
						let newOptions = {
							type: options.type, url: location, user: options.user, password: options.password, responseType: options.responseType, headers: options.headers,
							timeout: options.timeout, followRedirects: options.followRedirects - 1, data: options.data
						};
						xhr(newOptions).done(c, e, p);
						return;
					}
				}

				const response: IXHRResponse = {
					responseText: data.join(''),
					status,
					getResponseHeader: header => res.headers[header],
					readyState: 4
				};

				if ((status >= 200 && status < 300) || status === 1223) {
					c(response);
				} else {
					e(response);
				}
			});
		}, err => {
			let message: string;

			if (agent) {
				message = 'Unable to to connect to ' + options.url + ' through a proxy . Error: ' + err.message;
			} else {
				message = 'Unable to to connect to ' + options.url + '. Error: ' + err.message;
			}

			return TPromise.wrapError<IXHRResponse>({
				responseText: message,
				status: 404
			});
		}));
	}

	dispose(): void {
		this.disposables = dispose(this.disposables);
	}
}

// Configuration
let confRegistry = <IConfigurationRegistry>platform.Registry.as(Extensions.Configuration);
confRegistry.registerConfiguration({
	id: 'http',
	order: 15,
	title: nls.localize('httpConfigurationTitle', ""HTTP configuration""),
	type: 'object',
	properties: {
		'http.proxy': {
			type: 'string',
			pattern: '^https?://[^:]+(:\\d+)?$|^$',
			description: nls.localize('proxy', ""The proxy setting to use. If not set will be taken from the http_proxy and https_proxy environment variables"")
		},
		'http.proxyStrictSSL': {
			type: 'boolean',
			default: true,
			description: nls.localize('strictSSL', ""Whether the proxy server certificate should be verified against the list of supplied CAs."")
		}
	}
});",mit
BuzzAcademy/idioms-moe-unformatted-data,clean/Linux-x86_64-4.06.1-2.0.5/released/8.7.1+1/zchinese/8.9.0.html,79928,"package main

import (
	""testing""
)

func TestParseHdbSignatureRow(t *testing.T) {
	signature := new(signature)
	sample := ""e11c2aff804ca144a3e49c42d6ac5783:1006:Exploit.CVE_2012_0779""
	sig := parseHdbSignatureRow(sample, signature)

	if sig.Size != 1006 {
		t.Fatal(""Error parsing HDB or HSB signature length"")
	}

	if signature.SigHash != ""e11c2aff804ca144a3e49c42d6ac5783"" {
		t.Fatal(""Error parsing HDB or HSB signature hash"")
	}
}
",mit
huddlej/safe_projects,lugre/baselib/openal-soft-1.8.466/Alc/alcReverb.c,1453,"---
layout: post
title: Mughal Empire
categories:
- Learning
---


[Mughal Empire](http://en.wikipedia.org/wiki/Mughal_Empire) (1526 – 1857) rulers...

- 1526-1530 [Babur ](http://en.wikipedia.org/wiki/Babur)
- 1530–1539 and after restoration 1555–1556 [Humayun ](http://en.wikipedia.org/wiki/Humayun)
- 1556–1605 [Akbar ](http://en.wikipedia.org/wiki/Akbar)
- 1605–1627 [Jahangir ](http://en.wikipedia.org/wiki/Jahangir)
- 1628–1658 [Shah Jahan ](http://en.wikipedia.org/wiki/Shah_Jahan)
- 1659–1707   [Aurangzeb ](http://en.wikipedia.org/wiki/Aurangzeb)
- Later Emperors = 1707-1857
",mit
BuzzAcademy/idioms-moe-unformatted-data,Portal.CMS.Web/Areas/PageBuilder/Controllers/ComponentController.cs,1375,"import React from 'react';
import { TypeChooser } from 'react-stockcharts/lib/helper'

import Chart from './Chart'
import { getData } from './util';

class ChartComponent extends React.Component {
  componentDidMount () {
    getData().then(data => {
      this.setState({ data})
    })
  }
  render () {
    if (this.state == null) {
      return <div>
               Loading...
             </div>
    }
    return (
      <Chart type='hybrid' data={this.state.data} />
    )
  }
}

export default ChartComponent;
",mit
Spurch/ASP-.NET-WebForms,README.md,1406,"import React from 'react';
import './skills.scss';

export default () => {
  return (
    <section className=""skills-section"">
      <svg className=""bigTriangleColor separator-skills"" width=""100%"" height=""100"" viewBox=""0 0 100 102"" preserveAspectRatio=""none"">
          <path d=""M0 0 L0 100 L70 0 L100 100 L100 0 Z"" />
      </svg>
      <h2 className=""skills-header"">Skills</h2>
      <p className=""skills tlt"">
          Javascript/ES6 React Redux Node Express MongoDB GraphQL REST Next.js Mocha Jest JSS PostCSS SCSS LESS AWS nginx jQuery Webpack Rollup UI/Design
      </p>
        <button className=""button button--wayra button--inverted skills-btn"">
          View My <i className=""fa fa-github skills-github""></i><a className=""skills-btn-a"" href=""https://www.github.com/musicbender"" target=""_blank""></a>
        </button>
    </section>
  );
}
",mit
elanderson/ASP.NET-Core-Email,README.md,113,"import { createContext } from 'react';

export const defaultApiStatus = {
    offline: false,
    apiUnreachable: '',
    appVersionBad: false,
};

export default createContext(defaultApiStatus);
",mit
Dmitry-Me/coreclr,raw_data/arkive-endangered-html/eleutherodactylus-simulans.html,651,"# Dreedi

To start your this app:

  1. Install dependencies with `mix deps.get`
  2. Create and migrate your database with `mix ecto.create && mix ecto.migrate`
  3. Start Phoenix endpoint with `mix phoenix.server`

Now you can visit [`localhost:4000`](http://localhost:4000) from your browser.
",isc
mfil/getebook,app/view/users/list-all.tpl.php,1517,"require 'test_helper'

class VigenereTest < MiniTest::Test

  def setup
    super
    @cipher = Cryptolalia::Cipher::Vigenere.new
  end

  def test_encodes
    @cipher.plaintext = 'This is a super secret message.'
    @cipher.keyword = 'qwerty'
    @cipher.encode!

    assert_equal ""jdmj bq q oygxp iagixr cawjteu"", @cipher.ciphertext
  end

  def test_decodes
    @cipher.ciphertext = 'jdmj bq q oygxp iagixr cawjteu'
    @cipher.keyword = 'qwerty'
    @cipher.decode!

    assert_equal ""this is a super secret message"", @cipher.plaintext
  end

end
",mit
