model,base_model,revision,precision,params,architectures,weight_type,status,submitted_time,model_type,job_id,job_start_time,use_chat_template,sender
Aculi/Little-Bitch-3B,,f4df1b9c2bf37bbfd6b2e8f2ff244c6029a5d546,float16,24.942,Qwen2ForCausalLM,Original,FINISHED,2024-07-08 15:50:51,🟩 : 🟩 continuously pretrained,14681306,2024-08-12T12:31:54.626652,False,jebish7
4season/final_model_test_v2,,7a447e7af3ce9ea515f25c04ab7f942fe637b521,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-12-06 14:13:34,merge,14541672,2025-01-13T13:00:55.656211,False,BlackBeenie
01-ai/Yi-9B-200K,,ccd4d86e3de01187043683dea1e28df904f7408e,float16,8.03,MistralForCausalLM,Original,FINISHED,2024-11-22 08:04:02,pretrained,13657084,2024-09-23T13:54:57.628826,True,paloalma
BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,,7fc79144d17da44c736f6f4a0ea32b8c9152718a,bfloat16,1.236,Qwen2ForCausalLM,Original,FINISHED,2025-02-16 05:59:32,chat,9555448,2024-08-19T12:43:48.971969,True,hyxmmm
Azure99/blossom-v5-4b,,683bde57913b834f71ca454f490fe76556e50785,bfloat16,34.389,MistralForCausalLM,Original,FINISHED,2024-07-04 14:48:38,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14749721,2024-08-12T13:36:13.087035,True,Amu
Alepach/notHumpback-M1-v2,,47b8045ba10031e9bc3533b61e9955e05c7d4d30,bfloat16,6.91,LlamaForCausalLM,Original,FAILED,2024-06-26 18:02:34,fine-tuned,11584574,2025-02-18T15:40:31.694986,False,Alepach
DeepMount00/Qwen2.5-7B-Instruct-MathCoder,,b5434e21936031982db15694c91b783bf85d06ea,bfloat16,8.03,LlamaForCausalLM,Original,FAILED,2024-08-26 08:05:36,fine-tuned,8095663,2024-11-03T23:03:07.271032,True,bedio
DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B,Qwen/Qwen2-1.5B-Instruct,05a9ef37686d678f267a15664b5ce66612b7996a,bfloat16,3.086,Gemma2ForCausalLM,Original,FINISHED,2024-08-27 07:45:51,🔶 : 🔶 fine-tuned on domain-specific datasets,14364378,2024-09-13T16:43:28.044869,True,DavidAU
AXCXEPT/EZO-Qwen2.5-72B-Instruct,,c6e394cc0579423c9cde6df6cc192c07dae73388,bfloat16,4.513,MistralForCausalLM,Original,FINISHED,2024-09-30 08:30:36,chat,14378276,2025-03-09T03:58:30.373616,True,lole25
Daemontatox/ZwZ2_32B,,0c60a40e7561b645e41304d5d60cbead4d76a9c5,bfloat16,7.616,LlamaForCausalLM,Original,FINISHED,2024-09-12 01:26:02,fine-tuned,14364354,2024-10-28T19:11:30.377732,False,
01-ai/Yi-34B-200K,,44d6f26fa7e3b0d238064d844569bf8a07b7515e,bfloat16,32.764,LlamaForCausalLM,Original,FINISHED,2024-12-02 13:08:42,pretrained,13314822,2024-11-22T08:07:18.423617,False,CultriX
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.3.0,,66d0feb9f54c375520fa6342f3d8f7e2be707101,bfloat16,32.764,LlamaForCausalLM,Original,FINISHED,2024-06-26 14:45:12,merge,13579025,2025-03-09T04:02:48.094333,True,AALF
1024m/QWEN-14B-B100,,ecd140c95985b4292c896e25a94a7629d2924ad1,bfloat16,7.242,Qwen2ForCausalLM,Original,FAILED,2025-03-10 02:23:27,🔶 : 🔶 fine-tuned on domain-specific datasets,14692929,2025-01-30T11:06:50.449610,True,lole25
CultriX/Qwen2.5-14B-Brocav7,,3f9ab222344d35e00480186aad07fe4116ec009c,bfloat16,7.616,?,Original,FINISHED,2024-12-12 11:49:33,🔶 : 🔶 fine-tuned on domain-specific datasets,8097392,2024-12-10T23:52:01.916848,True,csabakecskemeti
BEE-spoke-data/tFINE-900m-e16-d32-flan,,1a6840a69d854734dc9fbd19a3296f946a7ab3d7,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-10-24 16:30:45,🤝 : 🤝 base merges and moerges,11341232,2025-02-23T21:14:56.921251,False,DavieLion
Changgil/K2S3-14b-v0.2,,876db86b226fe6eec6f1b02e6c082a6dfe0317e0,float16,8.714,LlamaForCausalLM,Original,FINISHED,2024-08-26 09:38:03,fine-tuned,8897649,2025-03-04T10:35:35.639708,True,
BlackBeenie/Neos-Gemma-2-9b,,a04fe33734ab21ff8e327f7c4e2d02c51a68ab18,bfloat16,7.0,MistralForCausalLM,Original,FINISHED,2025-02-05 09:35:45,🔶 : 🔶 fine-tuned on domain-specific datasets,14596596,2024-07-22T09:21:53.904671,True,Daemontatox
Daemontatox/ZwZ_32B,,bb26643db413bada7e0c3c50752bf9da82403dba,float16,7.616,LlamaForCausalLM,Original,FINISHED,2024-11-11 13:33:08,🤝 : 🤝 base merges and moerges,7815842,2024-09-12T14:13:14.727004,True,CombinHorizon
Daemontatox/Zirel_1.5,,f67309ade51aeecc355c29abfcc0f94b1eb6a251,float16,8.03,Qwen2ForCausalLM,Original,FINISHED,2025-01-10 17:11:20,fine-tuned,14692633,2025-02-27T12:55:29.437054,False,AmeerH
Aashraf995/Creative-7B-nerd,,55a7ee13f7cec1be0933958ffda7e3ccb507fbed,bfloat16,14.766,Qwen2ForCausalLM,Original,FINISHED,2025-02-28 13:08:07,fine-tuned,14749717,2025-03-09T04:20:11.555434,True,Daemontatox
Daemontatox/ReasonTest,,53891d973087e8909e1c9cc968b7bf222247e2ab,float16,8.03,StableLmForCausalLM,Original,FAILED,2025-01-09 23:12:24,🤝 : 🤝 base merges and moerges,13995565,2025-01-31T08:20:24.319712,True,BramVanroy
Davidsv/SUONG-4,,d9b3274662c2ac6c6058daac90504b5a8ebcac3c,float16,8.03,LlamaForCausalLM,Original,FAILED,2025-02-16 05:56:32,merge,13489312,2025-01-16T15:22:27.637598,True,DRXD1000
DavieLion/Lllma-3.2-1B,,9f43ad41542be56f6a18f31bfa60086318735ed5,float16,8.03,LlamaForCausalLM,Original,FINISHED,2025-02-26 18:54:25,fine-tuned,6693790,2024-09-20T03:33:05.214886,True,alozowski
Delta-Vector/Holland-4B,,accc28aa00084fe89801baa0885c291d18a031ec,float16,0.63,LlamaForCausalLM,Original,FINISHED,2024-06-26 16:55:48,merge,8693461,2024-06-16T17:23:13.160082,True,DavidAU
CultriX/Qwen2.5-14B-Wernicke,,ae511fd6bae53efd2656dd3cc6fc87d0fc56356c,bfloat16,8.03,LlamaForCausalLM,Original,FAILED,2025-02-19 09:20:55,merge,14359214,2024-10-25T10:59:55.925529,False,nlpguy
BAAI/Infinity-Instruct-7M-0729-mistral-7B,,d43283c52d7df164e1d3542745e9d505d6269042,bfloat16,14.0,LlamaForCausalLM,Adapter,FAILED,2024-07-04 14:49:31,finetuned,13489903,2024-09-05T22:19:57.266115,False,Ateron
Daemontatox/AetherUncensored,,a310eb51c1cdcd4217e2aa303f7aac938dcc9ae1,bfloat16,32.764,Qwen2ForCausalLM,Original,FAILED,2025-01-26 18:45:10,🔶 : 🔶 fine-tuned on domain-specific datasets,10064602,2025-01-23T10:17:08.347371,False,
CYFRAGOVPL/PLLuM-8x7B-nc-chat,,0562af3800440fe9839bd6e885d9e0062ab70ead,bfloat16,32.764,MistralForCausalLM,Original,FAILED,2024-07-27 20:12:17,🔶 : 🔶 fine-tuned on domain-specific datasets,13046568,2024-09-17T23:48:10.469547,True,adamog234
AuraIndustries/Aura-4B,AiMavenAi/Athena-70B-L3,df6b8ed99a44693cfca83e0f676d9f3f2d5d298f,bfloat16,7.613,CohereForCausalLM,Original,FINISHED,2025-01-19 16:54:01,fine-tuned,8999155,2024-12-19T18:04:08.843483,True,CultriX
CausalLM/34b-beta,,0da422b42196d121e3274bce003776c141969434,bfloat16,8.03,GPT2LMHeadModel,Original,FINISHED,2024-06-26 21:28:25,fine-tuned,10103488,2025-03-07T22:39:44.596381,False,DavieLion
AALF/FuseChat-Llama-3.1-8B-SFT-preview,,48af6b20168c9e157b33a7a005b6515901c93b0e,bfloat16,7.242,LlamaForCausalLM,Original,FINISHED,2025-02-05 20:47:14,merge,14414271,2024-09-19T14:41:54.332000,False,Cran-May
CultriX/Qwen2.5-14B-Brocav3,,9367c1273b0025793531fcf3a2c15416539f5d81,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-09-10 09:09:08,🤝 : 🤝 base merges and moerges,8740857,2025-02-26T18:58:46.784704,False,007ankit
CortexLM/btlm-7b-base-v0.2,,e6fe05febaf35c026fb048f1091bbe9f219c39a8,bfloat16,-1.0,LlamaForCausalLM,Original,FINISHED,2025-01-30 10:03:09,fine-tuned,14541670,2024-12-24T05:57:51.849726,False,BlackBeenie
Daemontatox/Cogito-R1,,79c734cfcfc59ea5ade94e3f71c840706128a7f2,float16,7.616,Qwen2ForCausalLM,Original,FINISHED,2024-10-06 16:35:24,🔶 : 🔶 fine-tuned on domain-specific datasets,13660588,2024-12-10T22:46:49.416273,False,Daemontatox
CultriX/Qwen2.5-14B-Broca,CultriX/Qwen2.5-14B-Hyperionv3,d30a7a121c2ef5dc14004cfdf3fd13208dfbdb4f,bfloat16,7.242,LlamaForCausalLM,Original,FINISHED,2025-01-01 02:45:32,fine-tuned,14470141,2024-07-29T17:34:17.888901,False,
BAAI/OPI-Llama-3.1-8B-Instruct,,7079c4e915e6f549df9f1c3fa3a3260f9a835f48,bfloat16,12.683,MixtralForCausalLM,Original,FINISHED,2025-03-04 10:32:40,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14075134,2024-10-11T03:39:20.783929,True,SrikanthChellappa
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,,641aac3f105805414efe0a55b18736dce73da0a0,float16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-12-19 18:01:25,chat,8767967,2024-11-12T12:53:07.202205,True,
CohereForAI/c4ai-command-r-plus-08-2024,,601f2b8c448acc5686656d3979ed732ce050b827,bfloat16,3.213,MllamaForConditionalGeneration,Original,FINISHED,2024-07-01 16:34:44,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",9334853,2025-03-08T21:19:48.330745,True,
CohereForAI/aya-23-35B,,20397f6cafc09c2cb74f105867cd99b3c68c71dc,bfloat16,34.389,LlamaForCausalLM,Original,FAILED,2025-01-11 06:26:28,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14598188,2025-03-08T04:14:49.815984,True,
DeepAutoAI/ldm_soup_Llama-3.1-8B-Inst,,6915a51631ff005cd686d1dac0ec570d0b197014,bfloat16,0.218,LlamaForCausalLM,Original,FINISHED,2024-12-13 12:37:37,merge,14414272,2024-08-13T11:07:14.779342,True,
Aashraf995/Qwen-Evo-7B,,804d5864127e603abec179a159b43f446246fafc,bfloat16,7.242,Qwen2ForCausalLM,Original,FAILED,2024-10-09 13:16:46,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",11089131,2025-02-25T18:47:29.586746,True,
Daemontatox/Phi-4-COT,,82e9951d78355fd6b37c2a54778df2948e1b52a9,bfloat16,12.248,LlamaForCausalLM,Original,FINISHED,2025-01-11 06:25:32,🤝 : 🤝 base merges and moerges,14586836,2024-12-11T14:31:12.727997,True,
