observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[0.5203806757926941, -0.25848713517189026, 0.7510892748832703, -0.64960777759552, 0.7448246479034424, 0.0922991931438446, 0.12135393172502518, 0.0]","[0.04894126206636429, -0.022108472883701324, -0.025292569771409035, -0.0494547002017498, 0.014140618033707142, -0.06053905189037323, 0.0]",12.0,54,5,394,0
"[0.5838914513587952, -0.09428837150335312, 0.21517346799373627, -0.5587162375450134, 0.6877979636192322, 0.34321045875549316, 0.3114108145236969, 0.0]","[-0.0007933294400572777, 0.008557867258787155, -0.053217511624097824, 0.0789707824587822, 0.12403262406587601, 0.03231576830148697, 0.0]",10.666666984558105,19,3,94,7
"[0.5749186873435974, -0.2031272053718567, 0.4267154633998871, -0.6833025217056274, 0.6859254837036133, 0.07044979184865952, 0.24008482694625854, 1.0]","[0.0, -1.3877787807814457e-17, 4.163336342344337e-17, 0.0, -0.0, -0.0, 0.0]",12.0,34,7,63,5
"[0.5184183120727539, 0.011083600111305714, 0.158781036734581, -0.43031737208366394, 0.7796987295150757, 0.27873483300209045, 0.35944923758506775, 0.0]","[0.06265656650066376, -0.08136842399835587, 0.02919275499880314, 0.15501689910888672, 0.18605287373065948, 0.23359394073486328, 0.0]",15.0,73,6,18,2
"[0.5534826517105103, -0.1504332721233368, 0.9299203753471375, -0.5678061246871948, 0.7685250639915466, 0.12427547574043274, 0.2674342095851898, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",6.666666507720947,16,0,20,0
"[0.49889180064201355, -0.12273265421390533, 0.709601640701294, -0.4089604318141937, 0.8281869292259216, 0.20747804641723633, 0.3221966028213501, 0.0]","[0.01857858896255493, -0.02074361778795719, -0.02634960040450096, -0.0009575886069796979, 0.08900968730449677, 0.013652816414833069, 0.0]",5.333333492279053,9,0,66,5
"[0.4165206849575043, -0.1378326714038849, 0.8990654945373535, -0.6500507593154907, 0.711243748664856, 0.13069483637809753, 0.2334207445383072, 0.18956899642944336]","[0.012079770676791668, -0.032060764729976654, -0.06343082338571548, 0.05192283168435097, -0.031913455575704575, -0.018611397594213486, 1.0]",20.33333396911621,62,7,308,6
"[0.476314902305603, 0.07202347368001938, 0.12886570394039154, -0.5092518329620361, 0.801371157169342, 0.19320645928382874, 0.24726112186908722, 1.0]","[-0.031154394149780273, -0.03399337828159332, 0.14934450387954712, 0.23573625087738037, -0.2655380666255951, 0.03386044502258301, 0.0]",2.3333332538604736,10,0,44,7
"[0.6125057339668274, -0.18367473781108856, 0.44030001759529114, -0.6733481287956238, 0.7065984606742859, 0.053014472126960754, 0.2109748125076294, 1.0]","[-0.011338477954268456, 0.04986525699496269, -0.22347016632556915, 0.14817936718463898, 0.23656019568443298, -0.033226367086172104, 1.0]",10.333333015441895,55,2,267,5
"[0.5310432314872742, 0.08677423000335693, 0.6318350434303284, 0.646486759185791, -0.5917568802833557, 0.14044563472270966, -0.46060144901275635, 1.0]","[-0.009750292636454105, -3.803993240580894e-05, -0.03193133696913719, -0.019525086507201195, 0.011066052131354809, -0.0012643925147131085, 0.0]",10.0,17,8,402,0
