observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[0.4991259276866913, -0.010456397198140621, 0.31324708461761475, 2.8625714778900146, 0.30569759011268616, 0.38420987129211426, 0.0, 0.0]","[0.04199700057506561, 0.019309554249048233, -0.12025441974401474, -0.26767420768737793, -0.3050592243671417, 0.3190333843231201, 1.0]",14.199999809265137,40,1,399,0
"[0.5359954833984375, 0.22887149453163147, 0.38437461853027344, 2.4564244747161865, -0.4135225713253021, 1.451682448387146, 0.0, 0.9867841601371765]","[0.24020324647426605, 0.6123014688491821, 0.08683742582798004, 0.14183519780635834, -0.5559513568878174, 0.08984188735485077, 0.0033039450645446777]",2.866666555404663,147,2,385,0
"[0.4813265800476074, -0.22181500494480133, 0.3663926124572754, -3.094832181930542, -0.06838948279619217, -1.1392120122909546, 0.0, 0.9383260011672974]","[-0.4043668210506439, 0.057526104152202606, 0.22119437158107758, -0.46615859866142273, -0.14942899346351624, 0.7460920214653015, 1.0]",11.066666603088379,187,2,457,0
"[0.41145071387290955, 0.0730399340391159, 0.2497706115245819, 2.8186533451080322, -0.10712749511003494, 1.2524962425231934, 0.0, 0.9867841601371765]","[-0.0005793042946606874, -0.06673780083656311, -0.06775596737861633, 0.0386824794113636, -0.1867043524980545, -0.15822449326515198, 0.1906832456588745]",5.5333333015441895,6,0,388,0
"[0.37869131565093994, -0.27068859338760376, 0.3615123927593231, 3.0411341190338135, -0.034974757581949234, -1.480254054069519, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013215839862823486]",2.6666667461395264,204,1,2,0
"[0.39590907096862793, -0.3071364164352417, 0.339684396982193, 3.0727436542510986, -0.0030901136342436075, -1.6207342147827148, 0.0, 0.8237885236740112]","[0.05850158631801605, 0.01061525009572506, -0.009979033842682838, 0.06545946002006531, -0.128907710313797, 0.20223350822925568, 0.015418529510498047]",10.399999618530273,101,1,412,0
"[0.39332443475723267, -0.21711425483226776, 0.5075613856315613, -3.0951712131500244, -0.2180040180683136, -0.554580569267273, 0.0, 0.0]","[0.11885271221399307, -0.03866300359368324, -0.14411795139312744, 0.0007132900645956397, 0.15920759737491608, -0.1648704558610916, 1.0]",12.333333015441895,208,0,379,0
"[0.36742883920669556, -0.20380385220050812, 0.3956137001514435, 3.097576856613159, -0.07908617705106735, -1.3119992017745972, 0.0, 0.0]","[-0.4132748246192932, 0.2941727638244629, 0.4556809663772583, 0.10772556811571121, -0.3940533399581909, 0.35089460015296936, 0.0033039450645446777]",12.399999618530273,5,0,46,0
"[0.606769323348999, -0.03861234337091446, 0.23621167242527008, 2.8621065616607666, -0.26208603382110596, -1.0093637704849243, 0.0, 0.0]","[-0.024946266785264015, 0.04715587943792343, -0.03185899555683136, 0.13686804473400116, -0.140554741024971, 0.4050559997558594, 0.015418529510498047]",11.333333015441895,236,2,171,0
"[0.4874834418296814, -0.20554564893245697, 0.3649904131889343, -3.013206720352173, -0.011218542233109474, -1.019740343093872, 0.0, 0.9383260011672974]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3.200000047683716,145,2,487,0
"[0.5333170294761658, 0.23257337510585785, 0.3859572112560272, 2.452768564224243, -0.4178214371204376, 1.4628673791885376, 0.0, 0.9867841601371765]","[-0.22711072862148285, -0.25333577394485474, -0.15471509099006653, -0.17640940845012665, 0.17745129764080048, -0.7598351240158081, 1.0]",1.7333333492279053,185,0,213,0
"[0.3971230983734131, -0.21773257851600647, 0.5008639097213745, -3.090606927871704, -0.20136183500289917, -0.5869423151016235, 0.0, 0.0]","[0.22694337368011475, 0.6586077809333801, 0.28558453917503357, 0.31670647859573364, -0.4212881624698639, 0.21196018159389496, 0.0033039450645446777]",7.400000095367432,146,0,353,0
