id,name,description,tags,version,template,author,subdomain,likes
svjack/gradio_imageslider,gradio_tiff,,,,,hugofloresgarcia,freddyaboulton-gradio-foliumtest,1
andyrids/gradio_dataframe_download,gradio_medical_image_analyzer,,,,,798989d,radames-gradio-huggingfacehub-search,0
cocktailpeanut/gradio_logsview,gradio_logsview,,,0.0.4,,Wauplin,princeta3011-agentic-workflow-bulider,1
simonduerr/gradio_molecule2d,gradio_workflowbuilder,,,0.0.3,,awacke1,feiznouri-gradio-checkboxmarkdowngroup,3
elismasilva/gradio_livelog,gradio_rich_textbox,,,,Code,rerun,elismasilva-gradio-imagemeta,26
Wauplin/gradio_logsview,gradio_mymodel3d-v0.0.1,Rerun viewer with Gradio,,,,b-aryan,prathje-gradio-motioncanvasplayer,1
abidlabs/gradio_gptchatbot,gradio_chatagui,,,0.0.4,,elismasilva,gabriel-gradio-polygonannotator,17
hugofloresgarcia/gradio_xyslider,gradio_awsbr_mmchatbot,,,,Image,simonduerr,freddyaboulton-gradio-datepicker-v0-0-1,0
Nymbo/gradio_hubquicksearch,gradio_datetimerange,,,0.0.1,,elismasilva,rickymagner-gradio-igv,0
freddyaboulton/gradio_easytb,gradio_pannellum,Quick search HF Hub repos or users,,,,edgargg,czakop-gradio-chessboard,5
mrsyclq/gradio_rich_textbox,gradio_imageslider,,,,Textbox,freddyaboulton,simonduerr-gradio-molecule3d,0
santhoshkammari/gradio_ap_chat_ui,WebRTC-Gradio,,,,,elismasilva,freddyaboulton-gradio-mymodel3d-v0-0-1,1
elismasilva/gradio_bottombar,modelscope-studio,,,,,elismasilva,dawood-gradio-videogallery,15
elismasilva/gradio_folderexplorer,gradio_chessboard,,,,,Tonic,hbding-test,0
elismasilva/gradio_taggrouphelper,gradio_motioncanvasplayer,,,,,elismasilva,b-aryan-gradio-imageslider-cssfix,4
pngwn/gradio_imageslider,gradio_motioncanvasplayer,workflow builder,"gradio-custom-component,chess,chessboard,games",,,Agents-MCP-Hackathon,gsarti-gradio-highlightedtextbox,2
rerun/gradio-rerun-viewer,gradio_workflowbuilder,,,,,elismasilva,aliabid94-gradio-datetimerange,4
K00B404/scope-studio,gradio_bbox_annotator,,"gradio-custom-component,log,gradio_log,gradio_log_component,gradio_print_log",,,Nseven,hellnear-gradio-model3dgscamera,1
IAMTFRMZA/Ask_PDF_anything,gradio_textlabeler,,,,,simonduerr,freddyaboulton-gradio-calendar,0
awacke1/Gradio-PDF-Document-QA-PDF-UI,gradio_imageslider,,,,,freddyaboulton,agents-mcp-hackathon-gradio-medical-image-analyzer,0
crcdng/gradio_myfirstcomponent,gradio_htmlplus,,"gradio-custom-component,workflow,builder,editor",,,clement-pages,jayavibhav-gradio-iframecomponent,0
aliabid94/gradio_modal,gradio_highlightcode,,,,,AbdullahIsaMarkus,tungnguyen103-gradio-hellogradio,0
pngwn/gradio_msaplot,gradio_medical_image_analyzer_local,,,,,santhoshkammari,freddyaboulton-gradio-keyboardtextboxcomponent,0
Nymbo/gradio_imageslider,gradio_pdf,,"gradio-custom-component,custom-component-track,agents,code-analysis,agents-mcp-hackathon",,,hmb,beast2857-gradio-imageslider,0
freddyaboulton/gradio_test2,gradio_checkboxmarkdowngroup,,,,,Wauplin,k00b404-ask-pdf-anything,0
freddyaboulton/gradio_multimodalchatbot,gradio_rerun,,,,,andyrids,crlotwhite-gradio-pianoroll,0
prathje/gradio_motioncanvasplayer,gradio_molgallery3d,,,,,hmb,freddyaboulton-gradio-folium,1
thietkeweb30s/gradio_agentchatbot,gradio_ap_chat_ui,,,,,elismasilva,keshan-gradio-codeanalysisviewer,0
drigoni/gradio_molgallery2d,gradio_test3,,,,,truetekken,elismasilva-gradio-videoslider,0
lastmileai/gradio-notebook-quickstart,B2BMGMT_gradio_unifiedaudio,,,,,smajumdar,zukuan-gradio-mycomponent3,10
elismasilva/gradio_propertysheet,hf-model-comparisons,,,,,brokerrobin,jedijamez-gradio-awsbr-mmchatbot,0
Agents-MCP-Hackathon/gradio_medical_image_analyzer,agentic_chatbot,,,,,junhuac,robinsaiworld-gradio-pannellum,0
toblab/gradio_highlightedtextlabeldefault,gradio_demotest,,"gradio-custom-component,medical-imaging,ai-agents,image-analysis,dicom,veterinary,ct-scan,x-ray,fat-segmentation,medical-ai,hackathon-2025",,,pngwn,agents-mcp-hackathon-chartagent,0
hugofloresgarcia/gradio_automationbus,gradio_msaplot,,,,,freddyaboulton,clement-pages-pyannote-speech-separation-pipeline,0
Agents-MCP-Hackathon/gradio_codeanalysisviewer,testng_component_from_builder,,,,,freddyaboulton,agents-mcp-hackathon-gradio-overlay-video,7
julien-c/gradio_hubquicksearch,gradio_leaderboard,,,0.0.1,,nasirbloch323,paddy82-chatpdf,32
K00B404/agentic_chatbot,gradio_hdrimage,A nicer view to show the Agentic code analyser outputs,,,,RebirthMagex,agents-mcp-hackathon-gradio-app-designer,2
elismasilva/gradio_htmlplus,gradio_overlay_video,,,,,K00B404,abdullahisamarkus-gradio-medical-image-analyzer,7
gsarti/gradio_highlightedtextbox,text-mood-checker-gradio-custom-component,,,,,hmb,junhuac-gradio-renderer,86
jayavibhav/gradio_iframecomponent,scope-studio,,,,Fallback,JoPmt,modelscope-modelscope-studio,10
Yelorix/gradio_vistimeline,gradio_msaplot,,,0.0.3,,Nymbo,dolo650-qa-my-pdf,2
clement-pages/separation-pipeline-visualization,gradio_audiogrid,,,,Audio,radames,rebanpaul-pdfsummarizer,3
andrewlastmile/hf-model-comparisons,gradio_hubquicksearch,,,,,azettl,anshulchordiya-textmoodchecker,8
edgargg/gradio_image_annotation,Ask_PDF_anything,,,,,awacke1,simonduerr-gradio-cofoldinginput,0
Sombreros/SOMbI1,gradio_codeanalysisviewer,,,0.0.3,,toblab,clement-pages-separation-pipeline-visualization,3
Jedijamez/gradio_awsbr_mmchatbot,gradio_tokenizertextbox,,,,,Sor0ush,crcdng-gradio-myfirstcomponent,0
awacke1/WebRTC-Gradio,gradio_topbar,,,,,camilosegura,awacke1-aidatamaps,0
