observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[0.6075488924980164, 0.17272742092609406, 0.06976937502622604, -0.1175030916929245, 0.9930586814880371, 0.0007126159034669399, 0.005187706556171179, 0.0]","[0.005242659244686365, 0.01852109096944332, -0.059172067791223526, 0.0, 0.0, -0.19829167425632477, 1.0]",0.800000011920929,2,22,495,0
"[0.5770516395568848, 0.10743727535009384, 0.14229512214660645, -0.055675894021987915, 0.9984393119812012, 0.0024554214905947447, 0.0036134535912424326, 0.0]","[0.010772651061415672, -0.007700363174080849, 0.1586061269044876, 0.0, 0.0, -0.02762027084827423, 0.0]",0.30000001192092896,9,37,383,0
"[0.5025542974472046, -0.09770970046520233, 0.09650752693414688, -0.5437309741973877, 0.8392535448074341, 0.0029195346869528294, -0.001272049848921597, 1.0]","[-0.018618816509842873, -0.11247485876083374, -0.016527505591511726, 0.0, 0.0, -0.3989735245704651, 0.0]",0.699999988079071,3,39,68,0
"[0.5674970149993896, 0.1774020940065384, 0.20037920773029327, 0.04075230658054352, 0.9991596937179565, 0.0012054565595462918, 0.0042084879241883755, 0.0]","[-0.0007772925309836864, -0.0006829401827417314, 0.09386120736598969, 0.0, 0.0, 0.0005141319707036018, 0.0]",0.0,7,0,335,0
"[0.5798628330230713, -0.09787283837795258, 0.16377924382686615, 0.22977706789970398, 0.9732339382171631, 0.00126655085477978, 0.0040800441056489944, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10000000149011612,0,15,406,0
"[0.5626935958862305, 0.20826953649520874, 0.23200814425945282, -0.36223456263542175, 0.9320637583732605, 5.3626714361598715e-05, 0.006575447041541338, 1.0]","[0.018280846998095512, 0.02381150610744953, -0.062212057411670685, 0.0, 0.0, 0.06439744681119919, 1.0]",0.30000001192092896,4,31,182,0
"[0.5485909581184387, -0.0007955224136821926, 0.1399422138929367, 0.22850677371025085, 0.9735422730445862, 0.00034407820203341544, -0.000128769243019633, 1.0]","[-0.0011880885576829314, 0.045984189957380295, 0.009775650687515736, 0.0, 0.0, 0.22943463921546936, 1.0]",0.6000000238418579,0,0,392,0
"[0.5890658497810364, 0.03286010026931763, 0.2059171348810196, -0.1543351411819458, 0.9880163669586182, 0.0003743617853615433, 0.0020358688198029995, 1.0]","[-0.02334536612033844, -0.06750179082155228, -0.08183436095714569, 0.0, 0.0, -0.2012355923652649, 1.0]",0.5,2,11,314,0
"[0.578694224357605, -0.07059326022863388, 0.39698126912117004, -0.3719995617866516, 0.9282165169715881, -0.002509904792532325, 0.004912496544420719, 1.0]","[-0.03093016892671585, 0.01720340922474861, -0.03465963527560234, 0.0, 0.0, 0.09984398633241653, 0.0]",0.30000001192092896,8,14,179,0
"[0.548445463180542, 0.0005131338257342577, 0.07259440422058105, 0.23100101947784424, 0.9729534387588501, 0.00026183301815763116, -0.00026600173441693187, 1.0]","[0.011238377541303635, -0.007517592050135136, -0.00482344813644886, 0.0, 0.0, 0.01836576499044895, 0.0]",1.2999999523162842,12,14,64,0
"[0.5537273287773132, 0.2089175432920456, 0.08364001661539078, -0.3727804124355316, 0.9279118180274963, 0.0011820552172139287, 0.003614802611991763, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5,2,5,473,0
"[0.6404546499252319, 0.2350955605506897, 0.15594787895679474, -0.25904905796051025, 0.9658464193344116, 0.0005482786218635738, 0.005831089336425066, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.2000000476837158,4,37,320,0
"[0.5031492710113525, -0.10843019187450409, 0.0876544639468193, -0.07753050327301025, 0.9969897270202637, 0.0004413712304085493, -0.0005492845084518194, 0.0]","[0.03765743225812912, -0.025599857792258263, -0.15524613857269287, 0.0, 0.0, -0.14037494361400604, 1.0]",1.399999976158142,2,35,354,0
"[0.49475982785224915, -0.14289645850658417, 0.07275024056434631, 0.11895422637462616, 0.9928688406944275, -0.0005596693372353911, 0.007814149372279644, 1.0]","[0.02636774070560932, 0.008716742508113384, -0.0014259505551308393, 0.0, 0.0, -0.28766289353370667, 0.0]",0.10000000149011612,1,43,281,0
"[0.4857609272003174, -0.04833438992500305, 0.07697635143995285, 0.12033892422914505, 0.992719829082489, 0.00507850106805563, -0.0002477067173458636, 0.0]","[0.0015715716872364283, 0.0042953877709805965, 0.001468394068069756, 0.0, 0.0, 0.0148106524720788, 1.0]",1.0,14,2,102,0
"[0.5549310445785522, 0.20637068152427673, 0.0848223865032196, -0.3695127069950104, 0.9292178750038147, 0.0006191327120177448, 0.0037535945884883404, 1.0]","[-0.05418817326426506, 0.0020229113288223743, -0.04541157931089401, 0.0, 0.0, -0.12243753671646118, 0.0]",1.2000000476837158,5,15,328,0
"[0.572250485420227, -0.10159426927566528, 0.2691149115562439, -0.06943613290786743, 0.9975817203521729, -0.0010324943577870727, 0.00287016318179667, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8999999761581421,0,42,441,0
"[0.4872737526893616, 0.21988016366958618, 0.08826800435781479, -0.1475352793931961, 0.9890563488006592, 0.0008467032457701862, 0.00035824699443764985, 0.0]","[0.009417669847607613, -0.009953094646334648, 0.08178039640188217, 0.0, 0.0, 0.010883191600441933, 0.0]",0.0,11,40,178,0
"[0.5494264364242554, 0.0545242577791214, 0.07844143360853195, -0.19771796464920044, 0.980206310749054, -0.0014243859332054853, 0.010055738501250744, 1.0]","[0.005880855955183506, 0.0011879638768732548, -0.00010955236211884767, 0.0, 0.0, -0.0021638423204421997, 1.0]",0.5,1,10,341,0
"[0.5346294045448303, -0.013140219263732433, 0.2213326394557953, 6.876433417346561e-06, 0.9999945759773254, 0.0006698395009152591, -0.0032316234428435564, 0.0]","[0.0024822421837598085, 0.05402516946196556, -0.0024572324473410845, 0.0, 0.0, -0.1227179765701294, 1.0]",0.5,1,43,425,0
