repository,sdk,license,likes
huggingface-projects/Deep-Reinforcement-Learning-Leaderboard,gradio,,114
radames/stable-diffusion-depth2img,gradio,mit,126
jbilcke-hf/VideoQuest,docker,,251
flax-community/chef-transformer,streamlit,,73
pharmapsychotic/CLIP-Interrogator,streamlit,,84
facebook/MusicGen,gradio,,1268
gligen/demo,gradio,mit,127
EleutherAI/VQGAN_CLIP,gradio,,510
elevenlabs/tts,gradio,,353
shikunl/prismer,static,cc-by-4.0,440
zhigangjiang/3D-Room-Layout-Estimation_LGT-Net,static,,192
vllab/controlnet-hands,gradio,,761
fffiloni/MS-Image2Video,gradio,,224
fffiloni/text-to-gif,gradio,,1537
Xenova/distil-whisper-web,gradio,,68
Gradio-Blocks/DualStyleGAN,gradio,,727
ai-forever/Kandinsky2.1,gradio,other,100
FaceOnLive/Face-Liveness-Detection-SDK,gradio,apache-2.0,497
anzorq/point-e_demo,static,mit,275
ShilongLiu/Grounding_DINO_demo,gradio,apache-2.0,79
Vision-CAIR/minigpt4,gradio,apache-2.0,80
vivien/clip,gradio,,250
ysharma/Talk_to_Multilingual_AI_WhisperBloomCoqui,gradio,,87
Gustavosta/MagicPrompt-Stable-Diffusion,gradio,,231
BAAI/SegGPT,gradio,,299
openflamingo/OpenFlamingo,gradio,mit,108
togethercomputer/GPT-JT,gradio,,187
fffiloni/Image-to-Story,gradio,mit,77
adirik/OWL-ViT,gradio,mit,1426
Xintao/GFPGAN,gradio,,85
THUDM/CogView2,docker,mit,78
camenduru-com/one-shot-talking-face,gradio,apache-2.0,349
nota-ai/compressed-stable-diffusion,gradio,apache-2.0,234
Clebersla/RVC_V2_Huggingface_Version,gradio,openrail,287
georgefen/Face-Landmark-ControlNet,docker,apache-2.0,120
Xenova/whisper-web,gradio,mit,74
zomehwh/vits-uma-genshin-honkai,gradio,,93
lmz/candle-llama2,gradio,mit,307
OFA-Sys/OFA-Image_Caption,gradio,mit,178
yuntian-deng/ChatGPT4,gradio,other,129
anzorq/finetuned_diffusion,gradio,,146
hwchase17/chat-langchain,docker,apache-2.0,97
fffiloni/ProPainter,gradio,,157
tetrisd/Diffusion-Attentive-Attribution-Maps,gradio,cc-by-nc-4.0,88
multimodalart/ChatGLM-6B,gradio,mit,115
mfidabel/controlnet-segment-anything,gradio,,371
runwayml/stable-diffusion-v1-5,gradio,,206
Ekimetrics/climate-question-answering,gradio,llama2,110
multimodalart/LoraTheExplorer,gradio,mit,430
sudo-ai/zero123plus-demo-space,gradio,,343
bhaskartripathi/pdfChatter,gradio,cc-by-nc-4.0,84
songweig/rich-text-to-image,gradio,apache-2.0,71
sd-concepts-library/stable-diffusion-conceptualizer,streamlit,mit,866
THUDM/GLM-130B,gradio,,825
shgao/EditAnything,gradio,apache-2.0,111
vumichien/Lip_movement_reading,gradio,,148
guoyww/AnimateDiff,gradio,apache-2.0,99
Silentlin/DiffSinger,gradio,,192
multimodalart/mindseye-lite,docker,bsd-3-clause,136
davila7/filegpt,gradio,,380
coqui/voice-chat-with-mistral,gradio,,275
ThomasSimonini/Huggy,gradio,mit,545
Open-Orca/Mistral-7B-OpenOrca,gradio,,151
fffiloni/spectrogram-to-music,gradio,apache-2.0,72
LinoyTsaban/edit_friendly_ddpm_inversion,gradio,,296
zomehwh/rvc-models,gradio,mit,100
mike-ravkine/can-ai-code-results,gradio,,227
mattthew/SDXL-artists-browser,gradio,,85
skytnt/anime-remove-background,gradio,cc-by-nc-4.0,125
osanseviero/i-like-flan,gradio,afl-3.0,316
fffiloni/stable-diffusion-img2img,gradio,,242
An-619/FastSAM,gradio,,2797
PixArt-alpha/PixArt-alpha,gradio,apache-2.0,125
Ella2323/Positive-Reframing,gradio,mit,78
nupurkmr9/custom-diffusion,gradio,,129
flax-community/image-captioning,gradio,,183
TencentARC/T2I-Adapter-SDXL,gradio,,73
huggingface/hf-speech-bench,docker,bsd-3-clause,102
VIPLab/Track-Anything,gradio,,73
camenduru-com/converter,gradio,,81
keras-io/Enhance_Low_Light_Image,gradio,,219
jbilcke-hf/ai-comic-factory,gradio,mit,116
multimodalart/lora-roulette,docker,,171
bigscience/bloom-book,gradio,apache-2.0,598
hysts/Shap-E,gradio,,86
xdecoder/Instruct-X-Decoder,gradio,,1327
microsoft/HuggingGPT,gradio,other,105
balacoon/tts,gradio,apache-2.0,118
TencentARC/T2I-Adapter-SDXL-Sketch,gradio,apache-2.0,83
hf-audio/open_asr_leaderboard,streamlit,other,398
hysts/ControlNet-with-Anything-v4,gradio,other,1001
sentence-transformers/embeddings-semantic-search,gradio,apache-2.0,341
tonyassi/image-to-image-SDXL,gradio,apache-2.0,320
doevent/dis-background-removal,gradio,,79
nielsr/dit-document-layout-analysis,gradio,,271
Yuliang/ICON,docker,,75
togethercomputer/OpenChatKit,gradio,apache-2.0,405
DragGan/DragGan,gradio,mit,82
multimodalart/dreambooth-training,gradio,,185
aravinds1811/neural-style-transfer,gradio,apache-2.0,382
RamAnanth1/Dolly-v2,gradio,mit,155
akhaliq/lama,gradio,,205
sanchit-gandhi/whisper-jax-diarization,gradio,,148
huggingface-projects/diffuse-the-rest,gradio,,96
ArtGAN/Video-Diffusion-WebUI,streamlit,apache-2.0,78
fffiloni/zeroscope,gradio,,152
coqui/CoquiTTS,gradio,,146
NoCrypt/DeepDanbooru_string,gradio,apache-2.0,873
hysts/ControlNet-v1-1,gradio,,68
fffiloni/SplitTrack2MusicGen,gradio,mit,150
artificialguybr/qwen-14b-chat-demo,gradio,,97
xinyu1205/recognize-anything,gradio,,72
jonigata/PoseMaker,gradio,mit,121
Pie31415/rome,gradio,cc-by-nc-4.0,75
modelscope/FaceChain,docker,,178
KenjieDec/RemBG,gradio,,161
olivierdehaene/chat-llm-streaming,streamlit,,135
DreamSunny/stable-diffusion-webui-cpu,gradio,,79
sczhou/CodeFormer,gradio,mit,759
doevent/Face-Real-ESRGAN,gradio,,214
xdecoder/SEEM,gradio,,158
prodia/fast-stable-diffusion,gradio,apache-2.0,835
akhaliq/yolov7,gradio,apache-2.0,93
prodia/sdxl-stable-diffusion-xl,gradio,mit,70
microsoft-cognitive-service/mm-react,gradio,,113
BlinkDL/ChatRWKV-gradio,gradio,,115
Audio-AGI/AudioSep,gradio,apache-2.0,1495
CVPR/Image-Animation-using-Thin-Plate-Spline-Motion-Model,gradio,mit,87
abhishek/dreambooth,gradio,,77
Linaqruf/Animagine-XL,gradio,,156
marcop/musika,gradio,,154
lambdalabs/stable-diffusion-image-variations,gradio,openrail,129
Fantasy-Studio/Paint-by-Example,gradio,,93
nightfury/Image_Face_Upscale_Restoration-GFPGAN,gradio,,127
suno/bark,gradio,,68
PaddlePaddle/ERNIE-Layout,gradio,apache-2.0,987
multimodalart/latentdiffusion,gradio,,212
ydshieh/Kosmos-2,docker,mit,207
fffiloni/zeroscope-XL,gradio,mit,155
akhaliq/anything-v3.0,gradio,mit,73
MirageML/dreambooth,gradio,mit,125
huggingface-projects/QR-code-AI-art-generator,gradio,apache-2.0,114
society-ethics/about,streamlit,apache-2.0,121
editing-images/ledits,gradio,,137
Plachta/VITS-Umamusume-voice-synthesizer,gradio,mit,1019
csuhan/LLaMA-Adapter,docker,mit,408
InpaintAI/Inpaint-Anything,gradio,,150
optimum/llm-perf-leaderboard,gradio,mit,80
akhaliq/GFPGAN,docker,,99
akhaliq/frame-interpolation,gradio,apache-2.0,419
shi-labs/Versatile-Diffusion,gradio,,220
SimianLuo/Latent_Consistency_Model,gradio,apache-2.0,210
TachibanaYoshino/AnimeGANv3,static,,1487
bigcode/bigcode-playground,gradio,apache-2.0,97
hf4all/bingo,gradio,mit,77
Salesforce/BLIP,gradio,,377
TempoFunk/makeavid-sd-jax,gradio,creativeml-openrail-m,2068
Matthijs/speecht5-tts-demo,docker,openrail,133
akhaliq/ArcaneGAN,static,,98
umm-maybe/AI-image-detector,gradio,,162
skytnt/moe-tts,gradio,,95
Rothfeld/stable-diffusion-mat-outpainting-primer,gradio,apache-2.0,364
openai/point-e,gradio,,954
microsoft/Promptist,gradio,creativeml-openrail-m,521
VideoCrafter/VideoCrafter,gradio,mit,283
codeparrot/code-generation-models,gradio,,114
weizmannscience/MultiDiffusion,gradio,,228
ysharma/OpenAI_TTS_New,gradio,apache-2.0,132
fffiloni/instant-TTS-Bark-cloning,gradio,openrail,152
camenduru-com/webui,gradio,apache-2.0,164
ysharma/InstructPix2Pix_Chatbot,gradio,,84
kadirnar/yolov8,gradio,mit,97
yizhangliu/Grounded-Segment-Anything,gradio,,76
hf-vision/object_detection_leaderboard,gradio,,75
internships/internships-2023,gradio,cc-by-nc-4.0,371
radames/candle-segment-anything-wasm,gradio,,123
lora-library/LoRA-DreamBooth-Training-UI,gradio,apache-2.0,328
ngoctuanai/chatgptfree,docker,apache-2.0,814
TencentARC/Caption-Anything,docker,,154
XCLiu/InstaFlow,gradio,gpl-3.0,83
fffiloni/image-to-sound-fx,gradio,openrail,143
fffiloni/whisper-to-stable-diffusion,gradio,other,804
competitions/movie-genre-prediction,gradio,cc-by-nc-sa-4.0,204
skytnt/full-body-anime-gan,gradio,cc-by-nc-4.0,104
microsoft/visual_chatgpt,gradio,apache-2.0,202
mishig/jsonformer,gradio,mit,253
tomofi/EasyOCR,gradio,mit,261
fffiloni/img-to-music,gradio,,491
akhaliq/SwinIR,gradio,afl-3.0,106
curt-park/segment-anything-with-clip,gradio,,124
wangrongsheng/ChatPaper,gradio,,287
diffusers/stable-diffusion-xl-inpainting,gradio,mit,102
ronvolutional/sd-spritesheets,gradio,,5281
PAIR/Text2Video-Zero,gradio,,529
merve/ChatGPT-prompt-generator,gradio,,70
huggingface-projects/magic-diffusion,gradio,,96
flax-community/dalle-mini,gradio,mit,118
nielsr/dpt-depth-estimation,gradio,gpl-3.0,268
warp-ai/Wuerstchen,gradio,,101
HuggingFaceM4/AI_Meme_Generator,gradio,,112
ykilcher/apes,docker,,313
Voicemod/Text-to-Sing,gradio,,506
facebook/ov-seg,gradio,,275
Surn/UnlimitedMusicGen,gradio,mit,114
radames/whisper-word-level-trim,gradio,mit,188
nielsr/comparing-captioning-models,gradio,mit,102
mikeee/chatglm2-6b-4bit,static,,150
hackathon-pln-es/BioMedIA,gradio,,102
hysts/SD-XL,gradio,,113
vumichien/Whisper_speaker_diarization,gradio,apache-2.0,471
huggingface-projects/diffusers-gallery,gradio,mit,764
facebook/cotracker,static,apache-2.0,453
hysts/ControlNet,gradio,apache-2.0,166
nateraw/background-remover,gradio,,159
ysharma/Explore_llamav2_with_TGI,gradio,apache-2.0,129
lykeven/visualglm-6b,gradio,osl-3.0,119
akiyamasho/AnimeBackgroundGAN,gradio,,80
darkstorm2150/protogen-web-ui,gradio,,675
mandar100/chatbot_dialogpt,gradio,mit,80
openai/whisper,gradio,lgpl-3.0,1312
stabilityai/stable-diffusion,docker,,134
One-2-3-45/One-2-3-45,gradio,gpl-3.0,186
Mathux/TMR,gradio,,185
hakurei/waifu-diffusion-demo,gradio,,194
ysharma/Low-rank-Adaptation,gradio,,465
chansung/LLM-As-Chatbot,gradio,,124
Manjushri/SDXL-1.0,gradio,apache-2.0,166
phenomenon1981/DreamlikeArt-PhotoReal-2.0,gradio,creativeml-openrail-m,235
deepdoctection/deepdoctection,gradio,,275
Salesforce/BLIP2,gradio,apache-2.0,72
ardha27/rvc-models,gradio,mit,78
codellama/codellama-playground,gradio,mit,90
fffiloni/Image-to-MusicGen,static,mit,92
aadnk/whisper-webui,gradio,,319
IDEA-CCNL/Taiyi-Stable-Diffusion-Chinese,gradio,,158
pszemraj/pdf-ocr,gradio,apache-2.0,88
Tune-A-Video-library/Tune-A-Video-Training-UI,static,mit,189
BAAI/AltDiffusion,gradio,,98
trl-lib/stack-llama,gradio,cc-by-nc-4.0,79
ysharma/ChatGPTwithAPI,gradio,mit,363
dongsiqie/gptnb,docker,mit,579
ChenyangSi/FreeU,gradio,,390
bigcode/santacoder-demo,gradio,apache-2.0,402
artificialguybr/qwen-vl,gradio,,3043
impira/docquery,gradio,,72
kakaobrain/karlo,gradio,mit,231
aipicasso/cool-japan-diffusion-latest-demo,gradio,apache-2.0,396
r3gm/RVC_HF,gradio,creativeml-openrail-m,87
HuggingFaceH4/human_eval_llm_leaderboard,gradio,mit,92
jonigata/PoseMaker2,gradio,,104
brjathu/HMR2.0,gradio,,107
pytorch/MiDaS,docker,apache-2.0,112
Yntec/ToyWorld,gradio,,79
SRDdev/Image-Caption,gradio,,161
multimodalart/mariogpt,gradio,,9303
DGSpitzer/DGS-Diffusion-Space,gradio,mit,189
AP123/IllusionDiffusion,docker,,202
abhishek/first-order-motion-model,gradio,cc-by-sa-3.0,75
HuggingFaceM4/idefics_playground,gradio,,84
mithril-security/blind_chat,docker,,92
segments/panoptic-segment-anything,gradio,apache-2.0,654
phenomenon1981/DreamlikeArt-Diffusion-1.0,gradio,,447
Audio-AGI/WavJourney,gradio,mit,138
akhaliq/Real-Time-Voice-Cloning,gradio,cc-by-sa-4.0,279
hf-accelerate/model-memory-usage,gradio,openrail,117
HuggingFaceH4/falcon-chat,gradio,mit,368
Manjushri/PhotoReal-V3.6,gradio,mit,145
JingyeChen22/TextDiffuser,gradio,apache-2.0,72
harmonai/dance-diffusion,streamlit,,89
damo-vilab/modelscope-text-to-video-synthesis,streamlit,,444
albarji/mixture-of-diffusers,gradio,apache-2.0,79
Matthijs/whisper_word_timestamps,docker,mit,311
anzorq/sd-space-creator,gradio,,97
uwnlp/guanaco-playground-tgi,gradio,,242
artificialguybr/video-dubbing,gradio,,87
cocktailpeanut/AudioGen,gradio,,222
radames/dpt-depth-estimation-3d-obj,gradio,,158
codellama/codellama-13b-chat,gradio,,86
diffusers/controlnet-openpose,gradio,,76
nyanko7/sd-diffusers-webui,gradio,,286
akhaliq/AnimeGANv2,gradio,,502
chansung/zero2story,gradio,,81
zomehwh/sovits-models,gradio,,165
