observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[0.42144545912742615, -0.07989736646413803, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.013048231601715088, 0.009597167372703552, 0.0, 0.0, 0.0, 0.0, 1.0]",1.0,5,15,79,29
"[0.2452090084552765, -0.1501682549715042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.800000011920929,32,5,85,2
"[0.4663504660129547, -0.061660587787628174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.008099585771560669, 0.039695337414741516, 0.0, 0.0, 0.0, 0.0, 1.0]",2.5,16,16,91,7
"[0.2981158196926117, -0.013077587820589542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.8999999761581421,10,29,330,22
"[0.38246098160743713, -0.02387392520904541, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.023730754852294922, 0.012094425037503242, 0.0, 0.0, 0.0, 0.0, 1.0]",1.100000023841858,4,16,350,7
"[0.5371982455253601, 0.09380701184272766, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.004894256591796875, -0.046940967440605164, 0.0, 0.0, 0.0, 0.0, 1.0]",0.6000000238418579,0,2,450,12
"[0.5156797766685486, -0.12834803760051727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.04206150770187378, 0.010443955659866333, 0.0, 0.0, 0.0, 0.0, 1.0]",0.30000001192092896,27,28,93,14
"[0.48072806000709534, 0.009417269378900528, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.025661557912826538, 0.03149307519197464, 0.0, 0.0, 0.0, 0.0, 1.0]",0.10000000149011612,0,4,257,0
"[0.3980940580368042, -0.21393121778964996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.800000011920929,4,29,435,5
"[0.43109291791915894, -0.23188424110412598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.042632728815078735, -0.011521298438310623, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,5,14,50,15
"[0.48339003324508667, -0.0952097550034523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.07224595546722412, -0.10804387927055359, 0.0, 0.0, 0.0, 0.0, 1.0]",2.0,12,5,182,24
"[0.2929207682609558, -0.12177087366580963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.04067540168762207, -0.019413061439990997, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,21,18,109,13
"[0.4337660074234009, -0.01695510745048523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, -0.00021585822105407715, 0.0, 0.0, 0.0, 0.0, 1.0]",0.800000011920929,2,16,436,18
"[0.5387623310089111, 0.05718167871236801, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.08266901969909668, -0.06688844412565231, 0.0, 0.0, 0.0, 0.0, 1.0]",2.200000047683716,1,12,193,18
"[0.40577131509780884, -0.0029688538052141666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.03674551844596863, -0.0020826430991292, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0,8,24,186,3
"[0.5488256216049194, -0.009059869684278965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.019265800714492798, -0.05498571693897247, 0.0, 0.0, 0.0, 0.0, 1.0]",1.0,4,8,230,12
"[0.2840906083583832, -0.02760116383433342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.02403205633163452, -0.09199211746454239, 0.0, 0.0, 0.0, 0.0, 1.0]",0.8999999761581421,35,10,49,12
"[0.24550436437129974, -0.12831257283687592, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.13836336135864258, 0.08608020842075348, 0.0, 0.0, 0.0, 0.0, 1.0]",0.5,0,25,451,7
"[0.4092637300491333, 0.002512355800718069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.00915449857711792, -0.0077925920486450195, 0.0, 0.0, 0.0, 0.0, 1.0]",1.0,10,21,207,6
"[0.5181528925895691, -0.09717559069395065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.04415479302406311, 0.0447167232632637, 0.0, 0.0, 0.0, 0.0, 1.0]",0.8999999761581421,11,0,284,28
"[0.37808191776275635, 0.03232276812195778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.017850756645202637, -0.03343670070171356, 0.0, 0.0, 0.0, 0.0, 1.0]",3.4000000953674316,10,5,402,7
"[0.29315826296806335, -0.24462462961673737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.011863410472869873, -0.00231369212269783, 0.0, 0.0, 0.0, 0.0, 1.0]",1.100000023841858,10,1,178,5
"[0.4999205470085144, 0.08062128722667694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.03188249468803406, 0.03298071026802063, 0.0, 0.0, 0.0, 0.0, 1.0]",0.4000000059604645,9,11,105,6
"[0.569360613822937, -0.01279147993773222, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1.2999999523162842,6,25,408,5
"[0.3056734800338745, 0.12401945888996124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.006565064191818237, -0.12904365360736847, 0.0, 0.0, 0.0, 0.0, 1.0]",0.30000001192092896,18,10,375,17
"[0.2581706643104553, 0.23034803569316864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0035966485738754272, -0.02980637550354004, 0.0, 0.0, 0.0, 0.0, 1.0]",0.699999988079071,4,19,195,14
"[0.4037170112133026, -0.08140812069177628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.05257558822631836, -0.07406657934188843, 0.0, 0.0, 0.0, 0.0, 1.0]",0.6000000238418579,23,1,17,18
"[0.524223804473877, 0.2457154542207718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.07145696878433228, -0.07925275713205338, 0.0, 0.0, 0.0, 0.0, 1.0]",1.100000023841858,14,12,440,12
"[0.4335310757160187, 0.03795201703906059, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0005299597978591919, 0.027040302753448486, 0.0, 0.0, 0.0, 0.0, 1.0]",1.5,9,7,63,14
"[0.3909718096256256, 0.13413624465465546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.05915313959121704, -0.0773293748497963, 0.0, 0.0, 0.0, 0.0, 1.0]",0.699999988079071,9,18,486,17
"[0.45660480856895447, 0.1858312040567398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.040938735008239746, 0.0376872792840004, 0.0, 0.0, 0.0, 0.0, 1.0]",0.30000001192092896,12,23,289,22
"[0.58447265625, -0.05898967385292053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.03352952003479004, 0.043194934725761414, 0.0, 0.0, 0.0, 0.0, 1.0]",0.10000000149011612,4,4,161,0
"[0.6176491379737854, 0.1135917529463768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0010379552841186523, -0.02665172517299652, 0.0, 0.0, 0.0, 0.0, 1.0]",1.0,12,12,213,17
"[0.4993246793746948, 0.28726112842559814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.034235090017318726, -0.009140603244304657, 0.0, 0.0, 0.0, 0.0, 1.0]",0.4000000059604645,14,14,215,12
