episode_id,source_path,outcome,num_frames,num_track_points,external_cameras,wrist_camera,cameras_with_2d_tracks,cam2base_calibration,fx,fy,cx,cy,width,height,k1,k2,p1,p2,k3
,,failure,103.0,,,,,"{'AUTOLab+84bd5053+2023-07-21-13h-13m-17s': {'relative_path': 'AUTOLab/failure/2023-07-21/Fri_Jul_21_13:13:17_2023', '22008760': [0.25542015020200937, 0.8138909353166303, 0.39844534295161027, -1.7535007872739103, 0.02562944898111974, -2.617874160159564], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.8774137701424957, '22008760_source': 'GT', '24400334': [0.08545809493325633, -0.34197336132918005, 0.3248291341672271, -1.9073229362852633, -0.1406949129959143, -0.8495768448543879], '24400334_metric_type': 'num_matches', '24400334_quality_metric': 27894.0, '24400334_source': 'Pred'}}",531.81982421875,732.2020874023438,636.1510620117188,,1280.0,,0.0,0.0,0.0,0.0,
,,failure,,,,18026681,,"{'AUTOLab+84bd5053+2023-07-14-17h-09m-06s': {'relative_path': 'AUTOLab/failure/2023-07-14/Fri_Jul_14_17:09:06_2023', '24400334': [0.3031079935887764, -0.45131159576841506, 0.31521804528985303, -1.8887856213791974, 0.12518282678204606, -0.19364109226439705], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.8784382908151467, '24400334_source': 'GT', '22008760': [0.17811928585137105, 0.5943622507308899, 0.40924031483785406, -2.0594647784676665, -0.11833995749657422, -2.6282221169607483], '22008760_metric_type': 'num_matches', '22008760_quality_metric': 50340.0, '22008760_source': 'Pred'}}",531.7679443359375,524.385009765625,636.1512451171875,,1280.0,720.0,0.0,,0.0,0.0,0.0
,,,109.0,,,,,"{'AUTOLab+5d05c5aa+2023-07-23-22h-02m-53s': {'relative_path': 'AUTOLab/failure/2023-07-23/Sun_Jul_23_22:02:53_2023', '24400334': [0.1600668813760454, -0.34341619570066945, 0.29205623181587126, -1.9567320708808555, -0.04042690949690764, -0.7541418269594482], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.6160911344266748, '24400334_source': 'GT', '22008760': [0.34378226801201683, 0.6077176892644542, 0.38300961271615525, -2.0299008017966393, -0.023509821375950368, -2.755831998044179], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.6780218183579325, '22008760_source': 'GT'}}",732.2020874023438,531.7679443359375,640.0441284179688,370.2781677246094,,720.0,0.0,0.0,0.0,0.0,0.0
AUTOLab+84bd5053+2023-07-14-17h-25m-34s,,,,960.0,"['24400334', '22008760']",18026681,,,732.2020874023438,,640.0441284179688,365.7880554199219,,,,,,0.0,0.0
,,,,960.0,,,,,732.2020874023438,524.4169921875,639.7766723632812,,1280.0,720.0,0.0,,0.0,0.0,0.0
AUTOLab+84bd5053+2023-07-08-10h-00m-17s,,failure,,960.0,,18026681,"['24400334', '22008760', '18026681']",,,531.8850708007812,,,1280.0,720.0,0.0,0.0,,,0.0
,,,87.0,,"['24400334', '22008760']",18026681,"['22008760', '24400334', '18026681']","{'AUTOLab+5d05c5aa+2023-07-07-10h-00m-27s': {'relative_path': 'AUTOLab/failure/2023-07-07/Fri_Jul__7_10:00:27_2023', '24400334': [0.2596757315060087, -0.36626259649963777, 0.24849304837972613, -1.742115402153725, -0.0012127426938948194, -0.7149867215760838], '24400334_metric_type': 'IoU', '24400334_quality_metric': 0.6712943316156411, '24400334_source': 'GT', '22008760': [0.4039752945788883, 0.47318839256292644, 0.27170584157181743, -1.6827143529296786, 0.07550227077885108, -2.668292283962724], '22008760_metric_type': 'IoU', '22008760_quality_metric': 0.6186910915171785, '22008760_source': 'GT'}}",732.2020874023438,531.8297729492188,639.776123046875,,1280.0,720.0,0.0,,,0.0,0.0
,,,,960.0,,,,,531.8741455078125,,,370.2776184082031,,720.0,0.0,0.0,0.0,,0.0
,,,,960.0,"['24400334', '22008760']",,,,524.2562255859375,524.3674926757812,639.7770385742188,,1280.0,,0.0,0.0,,0.0,0.0
,AUTOLab/failure/2023-07-26/Wed_Jul_26_16:56:50_2023,,254.0,,,,,,,524.4598999023438,639.7781982421875,365.7880554199219,1280.0,720.0,0.0,0.0,0.0,0.0,0.0
