action,observation.state,timestamp,frame_index,episode_index,index,task_index
"[-1.318301796913147, -2.0263893604278564, 0.06795345991849899, 0.07976672798395157, 2.6752638816833496, 0.855961263179779, -1.4827452898025513, 0.2160000056028366, 0.5181781649589539, 1.9472330808639526, -0.6080693006515503, -0.6382892727851868, -1.685842514038086, -1.309251308441162, 1.4440885782241821, 1.0, 0.0]","[-1.3220120668411255, -2.025944948196411, 0.06634490191936493, 0.07068995386362076, 2.670600414276123, 0.8535143733024597, -1.4799869060516357, 0.37275001406669617, 0.5059278607368469, 1.951276421546936, -0.6435385942459106, -0.6580395102500916, -1.6770846843719482, -1.3221515417099, 1.4246877431869507, 0.8345833420753479, 55.099998474121094, 16.099000930786133, -1.3860000371932983, 3.309000015258789, 0.07599999755620956, 1.1490000486373901, -0.2919999957084656, 25.68600082397461, -5.771999835968018, 30.417999267578125, 0.2980000078678131, 1.6660000085830688, 0.2199999988079071, 0.0, 0.0, 0.0, 0.0, -0.012000000104308128, 0.0, 0.0, -0.024000000208616257, 0.0, 0.05400000140070915, 0.0, 0.0, 0.0, 0.0, -0.07044599950313568, 0.47790199518203735, -0.09422200173139572, 0.18821200728416443, -0.9550830125808716, -0.17909200489521027, -0.142535001039505, 0.28163599967956543, 0.39389100670814514, 0.08520899713039398, 0.33750399947166443, -0.8522589802742004, 0.2539219856262207, 0.3086549937725067]",13.933333333333334,386,0,15,0
"[-0.9196202754974365, -2.02638840675354, 0.11811476945877075, 0.029145123437047005, 2.2063231468200684, 0.8686929941177368, -0.7584004998207092, 0.2199999988079071, 0.036353982985019684, 2.0662708282470703, -0.1874515265226364, -0.046479322016239166, -1.4672523736953735, 0.056756392121315, 1.7215852737426758, 1.0, 0.0]","[-0.8520137071609497, -2.0259974002838135, 0.15530499815940857, -0.08817484974861145, 2.0607402324676514, 0.7614307403564453, -0.673447847366333, 0.8912500143051147, 0.03830274939537048, 2.0658183097839355, -0.18247464299201965, -0.05055265128612518, -1.461594581604004, 0.05666014924645424, 1.7254384756088257, 1.0, 55.099998474121094, 16.304000854492188, -3.1579999923706055, 1.2359999418258667, 0.2370000034570694, 0.9580000042915344, -0.23899999260902405, 13.071000099182129, -2.6730000972747803, 44.28300094604492, 0.1679999977350235, 1.3029999732971191, 0.17100000381469727, -0.3659999966621399, 0.0, 0.0, -0.09000000357627869, 0.0, -0.38999998569488525, -0.10199999809265137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.24987900257110596, 0.4139319956302643, -0.09873999655246735, 0.3332349956035614, -0.9082300066947937, -0.20393000543117523, -0.14994199573993683, 0.5600810050964355, 0.01576700061559677, -0.040536001324653625, 0.535190999507904, 0.030905000865459442, 0.844078004360199, 0.012071000412106514]",11.966666666666667,437,0,95,0
"[-0.889093816280365, -2.02638840675354, 0.1263991743326187, -0.08943010121583939, 2.0625898838043213, 0.7444406747817993, -0.6373698115348816, 0.2199999988079071, 0.03681422770023346, 2.0662708282470703, -0.18254226446151733, -0.05061977729201317, -1.4618829488754272, 0.056756392121315, 1.7257270812988281, 1.0, 0.0]","[-1.2985765933990479, -2.02585768699646, 0.031008649617433548, 0.0642160028219223, 2.670600414276123, 0.8426430821418762, -1.453305721282959, 0.3101666569709778, 0.4926134943962097, 1.9420279264450073, -0.6356162428855896, -0.755305826663971, -1.6752872467041016, -1.3780090808868408, 1.4738967418670654, 0.42516666650772095, 55.099998474121094, 17.31599998474121, -9.565999984741211, 4.664000034332275, 1.687999963760376, 1.3270000219345093, 0.257999986410141, 23.510000228881836, -5.53000020980835, 37.35499954223633, 0.07100000232458115, 1.090000033378601, 0.30000001192092896, 0.08399999886751175, 0.0, -0.09600000083446503, 0.0, 0.017999999225139618, -0.04800000041723251, 0.017999999225139618, 0.0, 0.0, 0.012000000104308128, -0.6420000195503235, 0.017999999225139618, -0.23399999737739563, 0.40799999237060547, -0.07943099737167358, 0.4777899980545044, -0.09371999651193619, 0.19607500731945038, -0.9504209756851196, -0.18894100189208984, -0.15018099546432495, 0.270022988319397, 0.3918420076370239, 0.10746800154447556, 0.3374960124492645, -0.857338011264801, 0.22783799469470978, 0.3148910105228424]",9.366666666666667,149,0,255,0
"[-1.2150652408599854, -2.0263893604278564, 0.09403212368488312, 0.06319952011108398, 2.5235514640808105, 0.8602569699287415, -1.2339335680007935, 0.2199999988079071, 0.3190670311450958, 1.953062653541565, -0.47123852372169495, -0.6542418599128723, -1.6520969867706299, -1.4557472467422485, 1.1751819849014282, 1.0, 0.0]","[-1.209424614906311, -2.0246362686157227, 0.0906004011631012, 0.0594172477722168, 2.5192041397094727, 0.8566379547119141, -1.2327202558517456, 0.37308332324028015, 0.3003319501876831, 1.9507006406784058, -0.44645822048187256, -0.6562596559524536, -1.6542600393295288, -1.4716109037399292, 1.1843315362930298, 1.0, 55.099998474121094, 16.152999877929688, -2.4790000915527344, 2.1610000133514404, 0.1120000034570694, 1.1030000448226929, -0.2590000033378601, 23.597999572753906, -5.076000213623047, 31.006000518798828, 0.210999995470047, 1.5219999551773071, 0.22300000488758087, -0.28200000524520874, -0.012000000104308128, 0.15000000596046448, 0.13199999928474426, 0.09000000357627869, 0.05400000140070915, -0.024000000208616257, 0.8820000290870667, 0.05400000140070915, -1.3140000104904175, 0.0, 0.006000000052154064, 0.8159999847412109, -0.38999998569488525, -0.11045899987220764, 0.4719899892807007, -0.09007000178098679, 0.22022899985313416, -0.9511160254478455, -0.14715200662612915, -0.1588129997253418, 0.35036700963974, 0.3169899880886078, 0.11846300214529037, 0.427852988243103, -0.8207839727401733, 0.22689999639987946, 0.30293500423431396]",2.7666666666666666,44,0,395,0
"[-0.11213318258523941, -2.02638840675354, 0.015032462775707245, 0.07301650941371918, 1.1630631685256958, -0.06365948915481567, -0.9653342962265015, 1.0, 0.03834838792681694, 2.0662708282470703, -0.18407638370990753, -0.04279738664627075, -1.4632635116577148, 0.05675636604428291, 1.7229658365249634, 1.0, 0.0]","[-0.8901070356369019, -2.0260672569274902, 0.12199295312166214, -0.07897870242595673, 2.0674760341644287, 0.7572950720787048, -0.6376927495002747, 0.3752500116825104, 0.0371161513030529, 2.0658531188964844, -0.18245720863342285, -0.05055265128612518, -1.461594581604004, 0.05664269998669624, 1.7263284921646118, 1.0, 55.099998474121094, 17.336000442504883, -3.75600004196167, 0.9950000047683716, 0.2809999883174896, 1.0989999771118164, -0.2329999953508377, 13.404000282287598, -2.6589999198913574, 44.125, 0.11699999868869781, 1.3600000143051147, 0.1940000057220459, -0.1679999977350235, 0.0, -0.17399999499320984, 0.6959999799728394, 0.593999981880188, 1.1699999570846558, -0.2939999997615814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.017999999225139618, -0.23400500416755676, 0.4274660050868988, -0.09440399706363678, 0.34375301003456116, -0.9092640280723572, -0.17616599798202515, -0.1550379991531372, 0.5600929856300354, 0.015099000185728073, -0.040550000965595245, 0.5351809859275818, 0.03178900107741356, 0.8440529704093933, 0.012002999894320965]",10.066666666666666,196,0,471,0
"[0.14173926413059235, -2.02638840675354, 0.030218929052352905, -0.029451608657836914, 0.9958599805831909, 1.18852698802948, -0.8801982998847961, 1.0, 0.03911544382572174, 2.0662708282470703, -0.18407638370990753, -0.043564461171627045, -1.4618829488754272, 0.056756392121315, 1.7226591110229492, 1.0, 0.0]","[-1.1128562688827515, -2.024566411972046, 0.09745825082063675, 0.05393795296549797, 2.4499449729919434, 0.910244345664978, -1.1662707328796387, 0.3734166622161865, 0.06428579986095428, 1.9677666425704956, -0.0739007517695427, -0.6379196643829346, -1.6047369241714478, -1.5667307376861572, 1.3385894298553467, 1.0, 55.099998474121094, 16.145999908447266, -1.4170000553131104, 4.4730000495910645, 0.16699999570846558, 1.319000005722046, -0.28700000047683716, 26.493000030517578, -8.463000297546387, 30.315000534057617, 0.4169999957084656, 1.7359999418258667, 0.21400000154972076, -0.6179999709129333, 0.0, -0.49799999594688416, -0.75, 0.15000000596046448, -1.2899999618530273, -0.05999999865889549, 1.9199999570846558, -0.6840000152587891, -2.0220000743865967, -0.029999999329447746, -1.284000039100647, 0.31200000643730164, -0.5879999995231628, -0.14367200434207916, 0.45651599764823914, -0.08924099802970886, 0.21786800026893616, -0.9440400004386902, -0.17112399637699127, -0.17899000644683838, 0.425370991230011, 0.19734500348567963, 0.17500099539756775, 0.557453989982605, -0.6478970050811768, 0.3611159920692444, 0.3729180097579956]",0.36666666666666664,450,0,39,0
"[-1.2294844388961792, -2.0263893604278564, 0.08973652869462967, 0.07086868584156036, 2.543339729309082, 0.8605638742446899, -1.234853982925415, 0.2199999988079071, 0.3637060225009918, 1.9568976163864136, -0.49961647391319275, -0.6487200260162354, -1.6520969867706299, -1.4284418821334839, 1.162143588066101, 1.0, 0.0]","[-1.2955228090286255, -2.0255610942840576, 0.029804598540067673, 0.06435559689998627, 2.6707050800323486, 0.8384724855422974, -1.440322995185852, 0.28808334469795227, 0.4919329583644867, 1.9416964054107666, -0.634132981300354, -0.7959293723106384, -1.67071533203125, -1.3793874979019165, 1.5020086765289307, 0.42133334279060364, 55.099998474121094, 16.099000930786133, -2.124000072479248, 5.921000003814697, 0.40299999713897705, 1.2109999656677246, -0.19499999284744263, 25.93600082397461, -2.440999984741211, 31.68600082397461, -0.3959999978542328, 1.3569999933242798, 0.289000004529953, 0.0, 0.0, -0.012000000104308128, -0.012000000104308128, -0.029999999329447746, 0.0, 0.2879999876022339, -0.041999999433755875, 0.0, 0.017999999225139618, -0.5519999861717224, 0.23999999463558197, 0.16200000047683716, 0.3779999911785126, -0.08118399977684021, 0.4782629907131195, -0.09330900013446808, 0.1994740068912506, -0.9508039951324463, -0.1848360002040863, -0.14837700128555298, 0.26444101333618164, 0.3938179910182953, 0.11625699698925018, 0.3428950011730194, -0.8555790185928345, 0.22220399975776672, 0.31785300374031067]",7.366666666666666,226,0,71,0
"[-0.1089116632938385, -2.022860288619995, 0.42644578218460083, 0.17456620931625366, 1.143581509590149, 1.4924092292785645, -0.7016434669494629, 1.0, 0.03604716807603836, 2.0662708282470703, -0.18683789670467377, -0.0444849468767643, -1.466484785079956, 0.056756392121315, 1.7211251258850098, 1.0, 0.0]","[-1.3136882781982422, -2.0259275436401367, 0.07341214269399643, 0.08745940029621124, 2.6693613529205322, 0.840740978717804, -1.5141539573669434, 0.37308332324028015, 0.5021063089370728, 1.9385379552841187, -0.5930731296539307, -0.6439922451972961, -1.6668239831924438, -1.3304402828216553, 1.413607120513916, 1.0, 55.099998474121094, 16.716999053955078, -1.343000054359436, 3.811000108718872, 0.032999999821186066, 1.1950000524520874, -0.2919999957084656, 26.593000411987305, -5.6479997634887695, 30.336999893188477, 0.2750000059604645, 1.718999981880188, 0.19200000166893005, 0.0, 0.0, -0.06599999964237213, -0.14399999380111694, 0.23399999737739563, 0.23399999737739563, 0.2879999876022339, 0.1979999989271164, 0.0, 0.0, 0.07199999690055847, -0.20399999618530273, 0.06599999964237213, 0.15600000321865082, -0.07638400048017502, 0.482369989156723, -0.08960200101137161, 0.20008200407028198, -0.9494249820709229, -0.19664399325847626, -0.14102600514888763, 0.2884269952774048, 0.3932499885559082, 0.09842699766159058, 0.35613301396369934, -0.8390030264854431, 0.25724801421165466, 0.32103899121284485]",0.03333333333333333,50,0,72,0
"[-1.1607625484466553, -2.024855375289917, 0.12271714955568314, 0.229636088013649, 2.4302854537963867, 0.9860430359840393, -1.2219696044921875, 0.2199999988079071, 0.03666113317012787, 2.0541534423828125, -0.2862401306629181, -0.1814693808555603, -1.5191001892089844, 0.0398830883204937, 1.703025221824646, 1.0, 0.0]","[-1.3042829036712646, -2.026049852371216, 0.04446260258555412, 0.06419854611158371, 2.6633410453796387, 0.8462551832199097, -1.454893708229065, 0.32616665959358215, 0.493032306432724, 1.9423943758010864, -0.636227011680603, -0.731521487236023, -1.675950288772583, -1.3666316270828247, 1.4614723920822144, 0.42908334732055664, 55.099998474121094, 14.607999801635742, -12.767999649047852, 6.251999855041504, 2.2170000076293945, 0.9380000233650208, 0.4230000078678131, 23.87700080871582, -5.589000225067139, 40.07400131225586, -0.1550000011920929, 1.437999963760376, 0.40799999237060547, 0.11400000005960464, 0.0, -0.2460000067949295, 0.0, 0.07199999690055847, -0.05400000140070915, 0.017999999225139618, 0.0, -0.012000000104308128, 0.0, -0.4860000014305115, 0.0, -0.20399999618530273, 0.14399999380111694, -0.07673099637031555, 0.4774259924888611, -0.09425900131464005, 0.19331499934196472, -0.9519640207290649, -0.18479600548744202, -0.14914000034332275, 0.27414199709892273, 0.39168500900268555, 0.10309000313282013, 0.33826199173927307, -0.8558599948883057, 0.23459500074386597, 0.3131229877471924]",11.066666666666666,479,0,78,0
"[-1.3135464191436768, -2.0263893604278564, 0.05061936005949974, 0.06442701071500778, 2.672194242477417, 0.8467577695846558, -1.4664851427078247, 0.2160000056028366, 0.49394094944000244, 1.9456983804702759, -0.6392089128494263, -0.6602238416671753, -1.6766396760940552, -1.3308789730072021, 1.4247620105743408, 0.24300000071525574, 0.0]","[-1.0912357568740845, -2.024723529815674, 0.13019445538520813, 0.21744446456432343, 2.446542501449585, 1.0410844087600708, -1.2198247909545898, 0.3734166622161865, -0.28869280219078064, 2.061647653579712, -0.09721395373344421, -0.2872968018054962, -1.4582266807556152, -0.7033048272132874, 1.4875776767730713, 1.0, 55.099998474121094, 16.51300048828125, -2.992000102996826, 2.3299999237060547, 0.17499999701976776, 1.180999994277954, -0.2160000056028366, 18.347000122070312, -12.569999694824219, 44.930999755859375, 0.49399998784065247, 1.3799999952316284, 0.6309999823570251, 0.3840000033378601, 0.0, 0.035999998450279236, 0.05400000140070915, 0.2460000067949295, 0.05999999865889549, 0.1080000028014183, -2.063999891281128, -0.05400000140070915, 3.5460000038146973, 0.12600000202655792, 0.6000000238418579, -7.230000019073486, -1.9259999990463257, -0.14934200048446655, 0.46708500385284424, -0.05420399829745293, 0.23042899370193481, -0.9424629807472229, -0.15328000485897064, -0.1875379979610443, 0.558696985244751, -0.04768799990415573, 0.05445300042629242, 0.6338040232658386, -0.14316099882125854, 0.7411680221557617, 0.16871699690818787]",14.3,407,0,70,0
