observation.state,action,timestamp,frame_index,episode_index,index,task_index
"[0.32362592220306396, 0.0005721739144064486, 0.052304286509752274, -0.0021811292972415686, 0.015411938540637493, 0.033757906407117844, 0.0, 0.9988223910331726]","[0.0015077292919158936, 0.002761244773864746, 0.03724613040685654, 0.05502296984195709, -0.01601795107126236, 0.21204665303230286, 0.0]",7.599999904632568,19,2,134,4
"[0.34043294191360474, 0.10253135859966278, 0.08218324929475784, -0.18252502381801605, -0.2297593057155609, 0.6949620842933655, 0.0, 0.6229594349861145]","[-0.009258121252059937, -0.007411211729049683, 0.030673600733280182, -0.0076241642236709595, -0.026916131377220154, -0.018037796020507812, 1.0]",0.800000011920929,18,1,24,4
"[0.34361475706100464, 0.10482056438922882, 0.08593156188726425, -0.19040770828723907, -0.24207302927970886, 0.6991006135940552, 0.0, 0.5570889115333557]","[-0.015396147966384888, -0.006696570664644241, -0.0011220946907997131, 0.007555028423666954, 0.008199557662010193, -0.039199650287628174, 1.0]",5.199999809265137,23,0,17,11
"[0.33944982290267944, 0.1192300021648407, -0.011153760366141796, -0.07584648579359055, -0.0937192440032959, 0.4055747985839844, 0.0, 0.9988223910331726]","[-0.03273347020149231, -0.011118873953819275, 0.04530712217092514, -0.022436514496803284, -0.06978333741426468, -0.049636393785476685, 0.0]",1.7999999523162842,29,8,217,4
"[0.34947896003723145, 0.05387746915221214, 0.09902704507112503, 0.00266418163664639, 0.018733888864517212, 0.5306516885757446, 0.0, 0.062092870473861694]","[-0.008190333843231201, -0.006298080086708069, 0.0011806190013885498, -0.00035410746932029724, 0.006037861108779907, -0.030561208724975586, 1.0]",2.799999952316284,3,8,219,1
"[0.3027246296405792, 0.05720171332359314, 0.1366710215806961, 0.03422822430729866, -0.07899408787488937, 0.03728356212377548, 0.0, 0.9994885921478271]","[-0.006509542465209961, -0.018798843026161194, 0.003774590790271759, -0.004754126071929932, 0.016856297850608826, -0.05313217639923096, 1.0]",7.0,9,1,64,8
"[0.29619935154914856, 0.052457910031080246, 0.034529514610767365, -0.013699757866561413, 0.03124193660914898, -0.08713161200284958, 0.0, 0.9994885921478271]","[-0.0031396150588989258, 0.0050978343933820724, -0.00025719404220581055, 0.03203514963388443, 0.02007063664495945, 0.00031064823269844055, 1.0]",4.599999904632568,20,3,39,8
"[0.2676820158958435, -0.018730495125055313, 0.0902542844414711, -0.05843397602438927, -0.1569667011499405, 0.9262231588363647, 0.0, 1.0008161067962646]","[-0.0019768476486206055, -2.3633241653442383e-05, -0.011436410248279572, 0.0007113143801689148, 0.029171139001846313, 0.0021674036979675293, 1.0]",3.5999999046325684,36,7,474,0
"[0.25313979387283325, -0.024801919236779213, 0.053627386689186096, 0.08200837671756744, 0.06960198283195496, -0.011482899077236652, 0.0, 0.5899012684822083]","[-0.00014215707778930664, 0.00230427086353302, 0.0005717575550079346, 0.022469453513622284, -0.002968907356262207, -0.01634444296360016, 1.0]",7.599999904632568,15,12,313,2
"[0.3507066071033478, 0.009431937709450722, 0.011739487759768963, 0.0013182213297113776, -0.2921355366706848, 0.4341777563095093, 0.0, 0.6731748580932617]","[-0.005980193614959717, -0.007942378520965576, 0.03372998535633087, 0.016160309314727783, 0.052288420498371124, -0.05407634377479553, 0.0]",1.600000023841858,9,7,128,4
"[0.2576036751270294, 0.028475571423768997, 0.15088042616844177, -0.32080426812171936, -0.2568100094795227, 0.609809398651123, 0.0, 0.5570889115333557]","[-0.0100117027759552, 0.014805570244789124, -0.00720706582069397, -0.00909116119146347, 0.013551086187362671, 0.02009892463684082, 0.0]",2.0,20,4,180,6
"[0.32121697068214417, -0.040769632905721664, 0.016455737873911858, -0.05673184245824814, -0.030782507732510567, -0.02308383211493492, 0.0, 1.0041072368621826]","[0.00092354416847229, -0.016555344685912132, -0.014022022485733032, 0.023924898356199265, 0.052893511950969696, -0.013436906039714813, 1.0]",3.5999999046325684,2,3,126,8
"[0.3756163716316223, 0.06656378507614136, 0.059484418481588364, 0.06740663945674896, -0.006485053338110447, 0.22857286036014557, 0.0, 1.0001531839370728]","[-0.004262715578079224, -0.008087240159511566, -0.012798480689525604, 0.01638946682214737, 0.014670461416244507, 0.023537948727607727, 1.0]",5.599999904632568,7,6,461,11
"[0.2589491903781891, -0.02222280204296112, 0.08537670969963074, 0.06244171783328056, -0.01108067762106657, 0.009800641797482967, 0.0, 0.529549777507782]","[0.022704899311065674, -0.0027425214648246765, -0.02180350571870804, -0.010423831641674042, -0.012212861329317093, 0.040187954902648926, 1.0]",3.4000000953674316,27,1,222,2
"[0.31559816002845764, 0.10286024212837219, 0.07558842748403549, 0.09779495000839233, -0.045118555426597595, -0.7569905519485474, 0.0, 0.9994885921478271]","[-8.362531661987305e-05, 0.0013270974159240723, 0.0034489817917346954, -0.0013177022337913513, -0.005530804395675659, 0.00918637216091156, 1.0]",0.20000000298023224,39,2,21,4
